name,R2,R2_std,MAE,MAE_std,RMSE,RMSE_std,R2_seed_0,R2_seed_1,R2_seed_2,R2_seed_3,R2_seed_4,R2_seed_5,R2_seed_6,R2_seed_7,R2_seed_8,R2_seed_9
488-cities_,0.45055421267867574,0.0002292621128810304,14.072961669527723,0.004159325023511802,19.626968507562555,0.004095207037914858,0.45052999472428,0.4511066167073253,0.45044099945487925,0.4503933101284596,0.45048343959185,0.4506758103711114,0.45062156298553513,0.45067200034612676,0.450416193061568,0.45020219941562134
256-cities_,0.46686914183439276,0.00883417142292842,13.641546526542502,0.21148591432261338,19.22163199492511,0.21013513280378823,0.45533015565921,0.4599605226898169,0.4726034895471636,0.47395993286612703,0.4678879904269976,0.48229171985755226,0.476955222390848,0.45542979775575587,0.4619068582358452,0.4623657289146117
128-cities_,0.4974812265361015,0.01846995671170094,13.198724677789127,0.2568555317789075,18.832254092790045,0.2675907131184454,0.46839665822267185,0.5255699743328166,0.4799110080665623,0.4857472984972453,0.4942168131446891,0.528929152279165,0.5024761841796817,0.4945800226566055,0.48530425827042867,0.5096808957111494
64-cities_,0.5230061771417845,0.03301999383390418,12.418403170679614,0.5591972840473068,18.15661034487929,0.5702744441408228,0.4702442197813971,0.5764447763116042,0.5310175368593566,0.4875830180086357,0.4838290573278219,0.5112216095926584,0.561397194580679,0.5364589798384441,0.5240594107669361,0.5478059683503125
2-cities_,0.5343500024129728,0.11591516282997322,10.776760865571088,2.49417722107268,17.178116104189165,2.9594656865625155,0.5626743544836897,0.5697416655202555,0.6275448276680975,0.49963302581690283,0.7926394007533533,0.3291133882101255,0.4464332250653027,0.4719019371887345,0.493241057670203,0.5505771417530629
32-cities_,0.536248309783863,0.04038993654052906,11.735419009512253,0.8226215439469355,17.52826683491574,0.8896691503607329,0.5372376108526146,0.6172897688141745,0.5107459563752572,0.46158544350734065,0.5466201621306347,0.5146639111739248,0.5092730774485736,0.5320553958240357,0.5529023528937895,0.5801094188182854
1-cities_,0.5364237830616054,0.10928799823401614,9.824888860269898,3.093626278987359,16.433937916838396,3.4301951318485564,0.6138425145769968,0.6286018669574178,0.7056125941671685,0.5192526378120372,0.30515579614665034,0.5208396269166674,0.43230559220020004,0.45990425590988215,0.5896094493717774,0.5891134965572569
16-cities_,0.5536260621697103,0.06205208637043127,11.181674022655866,1.6128184081182169,17.114741420064334,1.8450505163643116,0.6093966654088775,0.579591476282542,0.5825725390744498,0.4918606396126639,0.5615358610247007,0.4472599033173513,0.5311817398967891,0.5015263370820866,0.6780151222747304,0.5533203377229112
8-cities_,0.5569764010833875,0.06535533764922098,10.735904739192673,1.455814697721957,16.840589730760264,1.7862571591552077,0.5364100343550052,0.46184994448960337,0.6449503146024598,0.5135408295840528,0.6071038950727028,0.4577503216191533,0.6063386733077922,0.5192426757751085,0.6386422117412589,0.5839351102867381
4-cities_,0.5693139483746639,0.09196695131585698,10.512045162777712,1.4774952421549763,16.791006427722284,1.8092907077886955,0.5055193585069451,0.5582174746149988,0.6675814381073344,0.5335554113477299,0.729493214444547,0.43679894238475847,0.6679946583428056,0.45461797408762905,0.6105473968985717,0.5288136150113185
