name,MCC,MCC_std,F1,F1_std,Recall_residential,Recall_commercial,Recall_agricultural,Recall_industrial,MCC_seed_0,Recall_others
Spain_city-cv,0.44835454346798115,0.0,0.5486838361188234,0.0,0.8153912252680195,0.338568540879834,0.7173597047102632,0.5426180782186217,0.44835454346798115,
Spain_neighborhood-cv,0.5056103662850422,0.0,0.5906285598756106,0.0,0.8153308741586768,0.3995259056332784,0.8579538773110341,0.5830298960093182,0.5056103662850422,
Spain_block-cv,0.5189829076213767,0.0,0.599612984788084,0.0,0.8066468604331102,0.42897561040480875,0.8685928006794277,0.6307347030861412,0.5189829076213767,
France_city-cv,0.5527922941238235,0.0,0.5036717215622477,0.0,0.8526053010179045,0.5310845116984051,0.11339359079704191,0.40932381536305507,0.5527922941238235,0.7726595773940557
France_neighborhood-cv,0.5551032123847403,0.0,0.5162209517243378,0.0,0.8520115192868319,0.5383044017939009,0.14638771253397384,0.44120609617237455,0.5551032123847403,0.7757344364863584
France_block-cv,0.5574023294939139,0.0,0.5238801877186825,0.0,0.8517157112460705,0.5547651274630273,0.14708299096138044,0.47286940527283877,0.5574023294939139,0.7768493721419906
France_random-cv,0.5636973709296282,0.0,0.5717073884004626,0.0,0.850827401176243,0.5982372864440716,0.24220972125655774,0.6123762809844968,0.5636973709296282,0.7789763576595418
Spain_random-cv,0.5691448883763398,0.0,0.6499597814857506,0.0,0.8071033255696474,0.5833322251183574,0.9227134644280395,0.7045250637480718,0.5691448883763398,
