name,R2,R2_std,MAE,MAE_std,RMSE,RMSE_std,within_5_years,within_10_years,within_20_years,R2_seed_0,R2_seed_1,R2_seed_2,R2_seed_3,R2_seed_4
20_ESP_Soria_36400,-0.7650053294607363,1.236457495227615,25.78963526945656,1.9034345062482274,56.522793184221726,8.026292308704573,0.13931679483297071,0.26762975067875816,0.48948892056865734,0.11914929003854202,0.11511328856251801,-1.1331794298682598,0.11455388523762955,-3.0406636812741112
10_ESP_Soria_36400,-0.262980284008953,0.741503767065304,25.629565143817956,0.9453019012697593,52.716753299798974,3.5109334144840125,0.13341333477098885,0.25979401386935796,0.48322859069867513,0.10664416342631,0.10707766789516959,-1.7459868229336122,0.1090560934749003,0.1083074780924671
50_ESP_Soria_36400,-0.16326833094613935,0.6282737312762667,24.109843948709255,0.9232139788830469,54.19007791278216,12.113940810735038,0.14714246404385808,0.2822131289214707,0.5148172713181939,0.0968548837820542,0.10319415304063417,0.29419692887792603,0.10019293897303383,-1.410780559404345
10_ESP_Cuenca_119779,0.015745515869256453,0.19305981253234486,26.01531793280369,0.8188148127563707,50.952606508543354,3.41353986826204,0.11423524062331056,0.23062677751290012,0.4531145911636633,0.0931681399509694,0.11783619793982736,0.11837448245785487,-0.36987505330879644,0.11922381230642709
20_ESP_Cuenca_119779,0.08081030565354723,0.10664816034570018,25.26144492243159,0.5768011480775505,50.996814865842865,2.703825822771337,0.12361541831867418,0.24414110406868295,0.4688462152782479,0.16827912874309114,0.12149344886359892,0.1205658093915003,-0.12940957298026712,0.12312271424981291
80_ESP_Soria_36400,0.11284595665574784,0.18940164408972168,23.456976994314054,0.4486107487911702,44.806914824183444,22.892544742278982,0.15484359024548794,0.29213754193429425,0.5282697622001875,-0.2110936668507506,0.2446894305494859,0.34257135262745475,0.0518199902826576,0.13624267666989154
50_ESP_Cuenca_119779,0.1482406882624023,0.027647657380264437,24.519781493514213,0.22863512421202345,45.14826775955165,7.222669878699246,0.1314383431502712,0.25721824802387266,0.483950225568109,0.1303426967979615,0.1496030291525282,0.1426458291483318,0.19945310081346257,0.11915878539972746
10_ESP_Melilla_8331,0.1572081105292881,0.008342876923264912,23.45879600661664,0.24677602705526094,29.155669461855876,0.17957570516174623,0.15805754883028306,0.2754309879562714,0.489983549629555,0.14905608274926185,0.14796361376300915,0.15668659846000665,0.1703684206906969,0.1619658369834659
20_ESP_Salamanca_88726,0.16601310298909486,0.09575980410082696,25.10720347401486,0.337920922517524,39.285699580191064,0.7192958552281798,0.13926412247298794,0.26419124675134176,0.4734740647305983,-0.025494527590099292,0.21308016145718323,0.21595878508574906,0.21320325608355029,0.21331783990909103
80_ESP_Cuenca_119779,0.19203985638287266,0.09993181852827873,23.879368685813255,0.22550381794037253,41.52301209585748,12.605759126509724,0.14463327995133177,0.27590634184637036,0.5013860354838406,0.3050959399802541,0.124795778996588,0.07600814839278824,0.3185270492994583,0.1357723652452747
10_ESP_Salamanca_88726,0.2007511635248364,0.0015865514477871369,25.57991266727082,0.05112211317703423,39.301264605664144,0.03940199337067492,0.13294845682448253,0.25521515252255045,0.46385858446229983,0.2016202179609896,0.20139353965936035,0.20277165421172516,0.199726218506735,0.19824418728537208
50_ESP_Salamanca_88726,0.2107825133424539,0.019080454665947412,23.961701979809526,0.07018050979233577,41.186986355141094,4.41170510216642,0.16436913106190992,0.2938143884263879,0.502880520961178,0.2485747828608026,0.20477238533982345,0.19741847601093143,0.20353951092833833,0.1996074115723736
10_ESP_Girona_112365,0.2126514948357176,0.0020758372653304,17.289925489071074,0.04383382542832709,30.371951851188726,0.04941993998952076,0.21065911445113975,0.4046198662749802,0.7000509778471419,0.21638314305980622,0.21239139770268056,0.21288936837154582,0.2102417359371086,0.21135182910744688
10_ESP_Lugo_193140,0.21540559338485493,0.0005773047953961554,20.137699492161808,0.015113404910719965,26.60895192868177,0.016042310551841236,0.17916108541430206,0.3430768765843802,0.6070100755133268,0.2158668933267318,0.2161172871997188,0.2155518168289252,0.2145793262947283,0.21491264327417048
50_ESP_Girona_112365,0.2162922622966505,0.0010170012429635913,15.780944507476221,0.04229439152292123,33.89502676293499,0.020256951288808597,0.25991801446638696,0.46511526800182273,0.7401942436857609,0.2156550397425302,0.2146007119869625,0.2168153208298268,0.21718589297268165,0.21720434595125127
10_ESP_Pontevedra_273601,0.22094346336936804,0.0007009080517564327,20.742117212543796,0.01947873749191379,27.609270101925425,0.016649554533533742,0.1538905909853476,0.31315823167435014,0.6093347052843276,0.2214014970027708,0.2216179655607614,0.22086866342487965,0.21963145596474387,0.22119773489368466
20_ESP_Melilla_8331,0.2218380678416604,0.008431878088252203,22.324205907071832,0.12001981510763435,27.98225174900678,0.12091628001439436,0.1809853625612227,0.2971243974460656,0.5044629364883984,0.21298310091311956,0.23224057564146994,0.2116059730380202,0.22254346908325284,0.22981722053243947
10_ESP_Palencia_43722,0.22872765636532894,0.0025910059368593613,26.86531490999202,0.1363224756524028,33.55561609140807,0.05567678166272778,0.12658488517978386,0.2419832338342332,0.44554958284570995,0.2248518444650216,0.23033804862179807,0.2324161082451871,0.22883286849941298,0.22719941199522486
20_ESP_Girona_112365,0.22958959262641837,0.0027538664951105114,16.633484329848663,0.03274919000045989,30.633589963969825,0.058088437100471825,0.22771808872484703,0.4287225823529557,0.7177786169353999,0.23419565660384145,0.2272543400941135,0.22673219047870397,0.2286760569516898,0.2310897190037432
