name,R2,R2_std,MAE,MAE_std,RMSE,RMSE_std,within_5_years,within_10_years,within_20_years,R2_seed_0,skew,kurtosis
400-Pyrénées-Orientales_,-0.9236612868012395,0.0,30.301787511551293,0.0,34.88968403979037,0.0,0.05833700334060174,0.12114246431141712,0.2922435739067854,-0.9236612868012395,-0.4767022193658303,1.3000266508496434
300-Pyrénées-Orientales_,-0.8852423519057451,0.0,30.146952727072048,0.0,34.53952238397427,0.0,0.0610008915432291,0.12629837696166363,0.28676541671589845,-0.8852423519057451,-0.6701199074352745,1.4890253610184683
250-Pyrénées-Orientales_,-0.6804109996617418,0.0,28.240262789059226,0.0,32.60922608726163,0.0,0.06761764611104547,0.14119681622393848,0.3248010139961546,-0.6804109996617418,-0.7414001550049721,1.9231738060859866
350-Pyrénées-Orientales_,-0.669882607255355,0.0,28.136201865875613,0.0,32.506911183226904,0.0,0.06769283650386157,0.14099272801486623,0.3293124375651203,-0.669882607255355,-0.6759040539859642,1.5936015812178086
200-Pyrénées-Orientales_,-0.48060360861897866,0.0,25.89499103065049,0.0,30.609211045318954,0.0,0.08775792990107092,0.18058584057488425,0.3924723675306401,-0.48060360861897866,-0.6533635175005345,1.7060594423995337
450-Pyrénées-Orientales_,-0.3578549576694878,0.0,24.43100048391228,0.0,29.312943110423983,0.0,0.09658743031461808,0.19944788768703609,0.4425813936002234,-0.3578549576694878,-0.4380414375689657,1.5574751029267366
200-Aude_,-0.298990439170574,0.0,27.852444853737307,0.0,33.186458720054425,0.0,0.08353784127262369,0.17454752618432007,0.3761339234848153,-0.298990439170574,-0.5162833069025065,0.9635224756810619
300-Aude_,-0.2831297508399555,0.0,27.238725983619563,0.0,32.98323294455591,0.0,0.09532626320171787,0.1951772645602349,0.41002015863973007,-0.2831297508399555,-0.43829982941162315,0.7737419117686613
450-Bouches-du-Rhône_,-0.26085812394522834,0.0,25.19910294818072,0.0,31.13404893653254,0.0,0.12167942301153142,0.23878326542543354,0.45790406194632194,-0.26085812394522834,-0.4312688980716312,0.672224504212303
250-Aude_,-0.2481397450070939,0.0,26.770297141041492,0.0,32.53041030419968,0.0,0.09879924624216661,0.201717866690039,0.4183684648757614,-0.2481397450070939,-0.4221829620280042,0.8264875058201837
