,R2,MAE,RMSE,Kurtosis,Skew,energy_r2,energy_mape,within_5_years,within_10_years,within_20_years
total,0.43914427561613023,14.319569773903105,19.874394976964556,1.478171805128099,-0.2073458374103392,,,0.2953192451249028,0.5096336808522759,0.745475913500679
fold_0,0.452576877931134,14.330216794731783,19.848489459908347,1.4501502722330581,-0.22506880696422754,,,0.2933320621323907,0.5077372134297491,0.745246747436819
fold_1,0.4507852942237641,14.449426881346728,20.003189916527898,1.3706405111594826,-0.17669019346563838,,,0.29638482250342313,0.5053850890010017,0.7386899346621454
fold_2,0.4229549382503871,14.192344735800022,19.764417146355907,1.5404994759670192,-0.27529789654932635,,,0.298573755256402,0.5164478224463318,0.7489119132843196
fold_3,0.4511393077374696,14.319073183882308,19.873788347978607,1.4752595480272035,-0.15863584489407165,,,0.2950281533864634,0.5096338448363973,0.7458617054092255
fold_4,0.41363461246959154,14.30661147740703,19.88125980778981,1.5607016911061127,-0.2023355898988995,,,0.2932885961474749,0.5089787935827346,0.7486708705671594
