name,R2,R2_std,MAE,MAE_std,RMSE,RMSE_std,within_5_years,within_10_years,within_20_years,R2_seed_0,R2_seed_1,R2_seed_2,R2_seed_3,R2_seed_4,R2_seed_5,R2_seed_6,R2_seed_7,R2_seed_8,R2_seed_9,skew,kurtosis
1-cities_,0.2998117935499984,0.15806962304629502,18.5307305517699,6.626444678783839,26.1893612617152,7.070354412345579,0.31672937073805124,0.46847590966681596,0.6592653511984846,0.468137123649783,0.43379827027088735,0.3962506515741884,0.24486318306474542,0.2509809044739362,0.16305635609210622,0.24138069499925063,0.43385105521779066,-0.0635250219477812,0.42932471810507733,-0.5460298341499663,3.374539849860793
2-cities_,0.4071868657490579,0.11652933655420412,17.371406260852304,3.5929383486388584,25.115529824935777,3.8563364850376107,0.3115862105620035,0.48458890383766534,0.6870485552244202,0.5026528019670706,0.4857766963723431,0.33154636315809016,0.43997642808524995,0.5748352913408026,0.2549139486821993,0.29843441763337,0.49563435445121284,0.2121623117350162,0.4759360440652235,-0.26809544967659765,2.2354724438794458
4-cities_,0.426397947779002,0.05950772012608135,15.972313487673835,2.2577421559487347,23.645818337870935,2.501478478890514,0.3347606052053229,0.5157650358808883,0.7203049699360895,0.46375791652853127,0.44757476860781364,0.41943601042436085,0.3913520824559632,0.48476947940953397,0.4555188732231573,0.3802486230055797,0.4396069595806321,0.28314244476417694,0.4985723197902716,-0.3288454208175399,2.4236072114542377
8-cities_,0.42885062758243536,0.06558344638199472,15.652804578607071,1.8234943744819705,23.089523663913198,1.8861019280603932,0.32877710420713874,0.5154161415682642,0.728220306685867,0.46604569898971027,0.4089783126537324,0.47274289062443275,0.3773739479959042,0.48421540321595324,0.5203719015737653,0.3215983901685001,0.4892180636691861,0.32899715585448286,0.4189645110786864,-0.4089974060892545,2.483191558771571
16-cities_,0.46284303102178265,0.04836832548368536,15.343894475129536,0.9756754692068608,22.680751215132833,1.1189544005407082,0.3336825596847657,0.5206344061852801,0.7339078666164822,0.4533892601800368,0.47500927631644563,0.5163780838513785,0.3968495902178153,0.49596711740107857,0.490620995911774,0.37168399208276626,0.5090169473397738,0.5022225656017609,0.4172924813149961,-0.36998797146274665,2.460641133469638
64-cities_,0.4745556914844757,0.029140062024607224,15.385963136277724,0.5362167461030063,22.61025986770473,0.6215272839281032,0.32255631622403513,0.5171226548506425,0.7354710377240171,0.4544644893930293,0.5095355764595209,0.4646870078138444,0.43441781233596244,0.4776986039293525,0.4615078674586939,0.4582161625857806,0.5139615429482238,0.5237096703840631,0.4473581815362856,-0.3739470166109632,2.35955307818895
32-cities_,0.47870457402068245,0.040707799775113664,15.30161883046633,0.5511829136540275,22.625276281677536,0.5575731085143711,0.3318026736508013,0.5217951571607812,0.7357300245363012,0.4688993551621816,0.5289340284556321,0.4778101009648018,0.4369979803809275,0.49254462763466633,0.4588592879819714,0.4046450544704103,0.5178542323486963,0.5431487971219608,0.4573522756855758,-0.33280042366852103,2.4458580826620326
256-cities_,0.4833405266632728,0.016818422594969757,15.755970170672104,0.19309260123297975,22.721160555784717,0.2246307690513562,0.2973138401476721,0.49793373244941613,0.7275201919520664,0.4574072120248479,0.498679340429356,0.4802434309508775,0.4966283331967444,0.45159248312825806,0.47931772643579784,0.4813126105301071,0.489847795134304,0.5081811078250869,0.49019522697734874,-0.36212678746536375,2.0711098313432195
128-cities_,0.48897241512318956,0.01953704548850033,15.509436144686095,0.40599211901612975,22.622556029039554,0.48758797366451023,0.31205433556766893,0.51045421917787,0.733210686954638,0.4553377929640142,0.5113930265121247,0.48574968999344326,0.46889491603581634,0.46731175395395297,0.4821214245954202,0.4985782857427662,0.5022716120570689,0.518503731394816,0.4995619179824726,-0.3550134574257191,2.2508600557848277
2048-cities_,0.4631822327683032,8.826128758704538e-05,16.685575460693546,0.0030246315901296325,23.274845343781028,0.0019133699521240977,0.25343281106441423,0.45530669102704424,0.7052068759889053,0.463243650342158,0.46317138079494147,0.4630494530265997,0.46313952352661125,0.46330715615120577,,,,,,-0.3526611457070351,1.5581025471807375
1024-cities_,0.4774131974750307,0.00012361007705053776,16.4297943119523,0.0021128027231560875,23.11715983359921,0.00273414657305088,0.26375837264336754,0.4667788753894692,0.7120338066830649,0.4773095577658155,0.4776320287063849,0.47730515629645975,0.47746471540003044,0.47735452920646304,,,,,,-0.33405961823202635,1.7035752248356275
512-cities_,0.48567137490444223,0.00011816020284024798,16.190298035645043,0.002647485266473917,22.986033803452965,0.002640379601298349,0.2755736938517893,0.4786345626333435,0.7177645919790818,0.48562676204655786,0.4856378090980389,0.4854982442657255,0.4858477237187119,0.485746335393177,,,,,,-0.3292401296575647,1.8368600218149687
3483-cities_,0.48569232315483346,5.929912508432802e-05,14.989084725208818,0.001335442516588637,21.492658262756567,0.0012390438461372054,0.31117587278292513,0.5113316210772558,0.7376848068384317,0.485743720823945,0.4856868691416265,0.48564044490422864,0.4856171831479933,0.48577339775637374,,,,,,-0.34675396024576866,1.9540314849983773
