name,R2,R2_std,MAE,MAE_std,RMSE,RMSE_std,within_5_years,within_10_years,within_20_years,R2_seed_0,R2_seed_1,R2_seed_2,R2_seed_3,R2_seed_4,R2_seed_5,R2_seed_6,R2_seed_7,R2_seed_8,R2_seed_9
1-cities_,-0.1500304717507915,0.4207979025955888,20.295084393730498,5.790695468487001,25.70836466636638,5.789205844505825,0.1901706118324074,0.3447993757112936,0.5814817178112334,-0.6417463063857713,0.15238518858448147,0.10509598566322409,-0.6273623895385687,-0.9858920822158093,0.07359527745342642,0.2922486659751389,0.15706611897386702,-0.19764915616790102,0.17195398014999752
2-cities_,0.0799845718950401,0.26871327346215523,19.008002248603688,3.9509705194600424,24.208721751995355,3.8863184848394816,0.19173048359370853,0.3636160822493627,0.6120752055768819,-0.11712223927025689,0.22368262801793182,0.2256681535265499,0.32455032584869736,-0.49545337076433915,0.08211338709774363,0.22075892337365155,0.4299815359648207,-0.24177962466258185,0.14744599981818396
4-cities_,0.20349076268258898,0.15280498808986034,16.46505483218925,2.0563984575961545,21.796002210730016,2.3225244698885996,0.24302065915924226,0.4274376447246243,0.6835122780285536,0.29850275200534104,0.22259527064311035,0.32457232208837716,0.3491708537295405,-0.012510515484253082,0.1314103782289946,0.20621675545499385,0.4535240756018293,-0.05336247297457719,0.11478820753253349
8-cities_,0.27220310040352846,0.05151641114612654,16.191834480790927,1.4403263453254058,21.483953027797927,1.5417856696543224,0.24055441609156802,0.43316502039128324,0.6919789078759683,0.2874018248448085,0.21217017763663248,0.31333268475184606,0.3059664093463993,0.22280494433127862,0.21992198315147726,0.24579151110236308,0.3896141614369276,0.2662989075192558,0.2587283999142953
16-cities_,0.3101804852549882,0.07206157852053134,15.591927073531238,1.5243073110740546,20.94103931614486,1.5469380175831335,0.2589605056600905,0.46033595689375495,0.7063748524563918,0.25890094201327807,0.2264922916173414,0.4025803722253034,0.29310143165864877,0.288966148692102,0.4625075949093117,0.2323165445806482,0.35512671766192594,0.31311494629180747,0.26869786289951514
32-cities_,0.3753607891988605,0.06277883631024364,15.036105972862297,1.014250978280195,20.4301878768947,0.9738633771585431,0.2697860977609073,0.47691181171637914,0.725386306792376,0.3630189616648509,0.5097983939484636,0.4453970271951062,0.34515501624767286,0.37706913627409167,0.41953989230355904,0.2872976611021997,0.35799262292016276,0.3165534163553009,0.3317857639771973
64-cities_,0.3989985244218786,0.030521049582348928,14.547498808000404,0.6537501681401356,19.963352560544738,0.638453675831412,0.28126730228118235,0.4946142760613541,0.7394463840102182,0.3630679537263761,0.46915136801493995,0.43417767227537707,0.38672872979701944,0.3711064052859897,0.40268806041986194,0.410673064292046,0.3782678200299975,0.393070407037313,0.38105376333986507
128-cities_,0.41245119382004986,0.023964941238440837,14.582725417978637,0.3005694885583162,20.08540235688141,0.285555198177784,0.2848105845854941,0.4963381090596507,0.738596553144493,0.3767132529957097,0.441806918433833,0.4126133630296176,0.4213437241567777,0.38481042469514537,0.4517915491740635,0.423625217428917,0.39358590408095817,0.39026441971971726,0.4279571644857586
256-cities_,0.42654694020728784,0.013712343171042052,14.342265444772815,0.12818065642272677,19.843775925579287,0.12391770843151369,0.2915559709875527,0.5056974618580152,0.745364288800682,0.40468244284738,0.43180763243791564,0.444272279134338,0.4175301904717805,0.41439325413014694,0.44738111487783716,0.4259607403910284,0.41109783240875786,0.43875386473516576,0.42959005063852795
424-cities_,0.439490669696351,0.0002686879728274541,14.310520568795274,0.0047637098166050055,19.868256075333143,0.004762137338544845,0.2957470554615239,0.5101435652025295,0.7456003293251958,0.43962880338330246,0.43914427561613023,0.43953835695217347,0.43913809173680196,0.4398518068941639,0.43971988446816723,0.4399050359940495,0.43924988871153703,0.439287187080581,0.4394433661266026
1024-cities_,0.420980326352798,0.00017974820686981119,15.338727278396481,0.0038640929651284944,21.2078044610072,0.0032920035377254084,0.2734329711000985,0.48064618767543177,0.7239426995865678,0.42123391810633903,0.4208382810920611,0.4208687798599938,,,,,,,
512-cities_,0.43414062772800066,0.00013311025060685244,14.493230381237597,0.0011982338764461315,20.096474111936047,0.0023636786543073628,0.29073107698074774,0.5035780933947912,0.7420004211901947,0.4341561770019673,0.43429532208277966,0.43397038409925504,,,,,,,
