name,R2,R2_std,MAE,MAE_std,RMSE,RMSE_std,within_5_years,within_10_years,within_20_years,R2_seed_0
200-Noord-Brabant_,-0.3978289472257923,0.0,22.11244668861801,0.0,27.516352425555674,0.0,0.13553392938235193,0.27368904210593137,0.529345241292427,-0.3978289472257923
100-Drenthe_,-0.09282477597837335,0.0,20.173423771531787,0.0,25.639004926375243,0.0,0.17957945541839293,0.33388742163306984,0.5816661463299385,-0.09282477597837335
100-Groningen_,-0.04492980402940505,0.0,24.44519263726092,0.0,30.63616936113137,0.0,0.1521495858767698,0.2759262100894117,0.4873480019910851,-0.04492980402940505
50-Zuid-Holland_,-0.026736900011046227,0.0,24.354616630204855,0.0,29.375310705449824,0.0,0.1116967367941119,0.22913827916368137,0.4626965413925617,-0.026736900011046227
200-Noord-Holland_,-0.013897362191918283,0.0,20.88317197997024,0.0,25.853310404390417,0.0,0.1532396712453593,0.2989207621583333,0.5463997522593873,-0.013897362191918283
200-Zuid-Holland_,0.007963326402548487,0.0,24.02313465160896,0.0,28.87465124175488,0.0,0.12057708591154823,0.23614277339933565,0.45782192405393085,0.007963326402548487
150-Noord-Brabant_,0.048512086421251155,0.0,17.58665683975805,0.0,22.702071451761284,0.0,0.20298350041261176,0.38521140859306713,0.6492839110711792,0.048512086421251155
150-Drenthe_,0.052937752601903476,0.0,18.69839589012568,0.0,23.867952336028445,0.0,0.18911005543695628,0.35493996439209197,0.6175567237349489,0.052937752601903476
200-Overijssel_,0.05435961303697312,0.0,20.690106675018747,0.0,26.583362686516644,0.0,0.19141745638425986,0.34822605153813657,0.5648135888172205,0.05435961303697312
100-Noord-Holland_,0.05441046667812266,0.0,20.1054974342792,0.0,24.96723747847243,0.0,0.16508209967288273,0.3146448161344634,0.5630243576007603,0.05441046667812266
100-Limburg_,0.058536501473750224,0.0,19.02385706726391,0.0,24.46150104668425,0.0,0.19206692546806287,0.3630763941612113,0.6093316525567382,0.058536501473750224
100-Noord-Brabant_,0.06443188338839834,0.0,17.196192632478663,0.0,22.511350747756342,0.0,0.210537469542416,0.40171490236482693,0.6627912086838905,0.06443188338839834
150-Limburg_,0.09336326490185809,0.0,18.813802942203516,0.0,24.004795802981704,0.0,0.18685986047644287,0.3558017829601723,0.6142235719367608,0.09336326490185809
150-Zuid-Holland_,0.09509190764125941,0.0,22.50092659230637,0.0,27.577514375938186,0.0,0.13931479189734905,0.2714036344688334,0.5008845176838402,0.09509190764125941
100-Friesland_,0.10063053912682363,0.0,21.232956007900988,0.0,26.67841313806181,0.0,0.1727966532016643,0.32394446254935694,0.5398455440441996,0.10063053912682363
50-Friesland_,0.10128593540890074,0.0,20.716488844679056,0.0,26.66869070465306,0.0,0.18136448725624682,0.33362259088876595,0.5724760699371717,0.10128593540890074
200-Drenthe_,0.10164781474380169,0.0,17.94996206069149,0.0,23.246052473615702,0.0,0.2111034232531452,0.3847510399702986,0.6361243070380465,0.10164781474380169
150-Noord-Holland_,0.11338549614101201,0.0,19.359041540121645,0.0,24.176118721535605,0.0,0.16485429221290032,0.3245188457280762,0.5928084032476801,0.11338549614101201
200-Limburg_,0.12410723272265689,0.0,18.335052156974093,0.0,23.594285495288954,0.0,0.19828866383035615,0.372289628366925,0.6275169868259585,0.12410723272265689
50-Limburg_,0.13067404310881536,0.0,18.329516730203594,0.0,23.505672651281955,0.0,0.19425384501520818,0.3735191737455056,0.6242771944400674,0.13067404310881536
50-Drenthe_,0.1420248723244948,0.0,17.440254158830577,0.0,22.717641852445713,0.0,0.1973791904685562,0.3942774210424173,0.6596913418781063,0.1420248723244948
50-Noord-Holland_,0.1492526678809738,0.0,18.69863572965802,0.0,23.682059169234623,0.0,0.18050893610356697,0.3455216256909863,0.6122094120075889,0.1492526678809738
150-Overijssel_,0.1499412702180497,0.0,19.765451900103205,0.0,25.204110583200453,0.0,0.18052639432706394,0.34467416136510276,0.5846978686557252,0.1499412702180497
50-Noord-Brabant_,0.15268582205906023,0.0,16.015148265398818,0.0,21.4232859660171,0.0,0.24237937820140337,0.4475279916794031,0.6987397030171929,0.15268582205906023
150-Groningen_,0.15271132078647864,0.0,22.375248247387724,0.0,27.587135328528348,0.0,0.15609807216560437,0.2922066985789192,0.4996949747558862,0.15271132078647864
200-Zeeland_,0.15571083085634863,0.0,19.919975462257362,0.0,25.36666217328108,0.0,0.17254114545383756,0.338001768740023,0.5908203505220008,0.15571083085634863
