name,R2,MAE,RMSE
Spain_city-cv,0.30532176836455704,20.29737797189691,27.36237238112777
Spain_random-cv,0.33904154277856835,19.68232239674258,26.690025329277784
Netherlands_city-cv,0.34405762123854844,15.875017779406992,21.444881775773236
France_city-cv,0.3719985880703234,19.101783470835162,25.396953349827253
France_random-cv,0.3851768808097217,18.827283749841186,25.129069421159663
Netherlands_random-cv,0.4511066167073253,14.061321595609538,19.617100132973427
