name,R2,R2_std,MAE,MAE_std,RMSE,RMSE_std,within_5_years,within_10_years,within_20_years,R2_seed_0,R2_seed_1,R2_seed_2,R2_seed_3,R2_seed_4
10_FRA_Lot_81232,0.13329459681070976,0.003836914077701016,20.62261006015214,0.10230519017131433,27.9765621934581,0.05409582665596251,0.18602580214857906,0.3540197706320461,0.6175181555210236,0.12723119697385388,0.13750705026285337,0.13184732646302244,0.13253889143526498,0.13734851891855415
10_FRA_Alpes-de-Haute-Provence_36953,0.1467939252500629,0.007349384072250284,19.357544808905892,0.034920551866947994,26.585351075474286,0.10362810122044681,0.21138212756968197,0.3915328726831021,0.6460411694683038,0.15078797964882762,0.13397926224624768,0.1464621437585839,0.15626429906334915,0.14647594153330612
10_FRA_Lozère_26642,0.1546268214383057,0.006892833818880968,21.5597110169929,0.12906156176591976,28.387141773808718,0.1181869591073014,0.17235175259047916,0.3301883420884938,0.5808749832808866,0.1467162824126027,0.15333256043350274,0.16742922114007708,0.1516173913481027,0.1540386518572432
10_FRA_Gers_67928,0.16231483652828796,0.006103170568026706,19.904229365439992,0.11808025895538866,27.309522206162463,0.10624621099501695,0.1968434958334306,0.3739029739826591,0.639019551576593,0.15997102482228875,0.17194756047314463,0.1591790286563849,0.16613333320170098,0.1543432354879205
20_FRA_Lot_81232,0.16458558660278716,0.0028297534450977668,20.072008712169634,0.061636852290037285,27.47714361480346,0.055118165113876495,0.1939961243885117,0.3690686979063401,0.6336738053335156,0.1699648944273221,0.16376366240594453,0.16284766424710106,0.164485427594682,0.16186628433888617
10_FRA_Savoie_54927,0.18336693016726083,0.0020059034150240874,20.51357899279996,0.04324679649587931,27.369149750669084,0.015942156995271475,0.17927736562797605,0.3447307945971573,0.6097979400872513,0.18047134482960048,0.1814474019164759,0.1846282792723909,0.1854117833330341,0.18487584148480274
20_FRA_Alpes-de-Haute-Provence_36953,0.18546052245400324,0.003318405827946877,18.711098026935122,0.05247808918807982,25.963139556674577,0.04273682415150295,0.22442728467528247,0.4114155341695735,0.6636950771492824,0.18798116463906756,0.1827827312942848,0.1806811622418809,0.1897326670331978,0.18612488706158514
10_FRA_Haute-Savoie_101736,0.18623788538778108,0.0027949553156800338,17.603010371839765,0.032063426181004155,24.139243817295164,0.04183932491877753,0.2066525775312611,0.3999861733117533,0.6896028754309201,0.1809872174519893,0.1891758124450581,0.1863323856886666,0.18778786902300837,0.186906142330183
10_FRA_Hautes-Alpes_30125,0.18749583920673907,0.00882839649195967,17.93324824172413,0.049612225817563575,24.395481525853334,0.12065461069552373,0.2105006138760034,0.39432229712669625,0.6700414659182634,0.2051127196361796,0.18276036759374903,0.1821915737816283,0.183504816347696,0.1839097186744424
20_FRA_Lozère_26642,0.19084897053588762,0.011145873462430483,20.910405665858917,0.09083998666966245,27.7599077419079,0.16328185477956683,0.1813878278391745,0.34823146970600183,0.5990511204767129,0.19086728069732395,0.19563188884461502,0.20574396203355794,0.17144982602250036,0.19055189508144077
