,R2,MAE,RMSE,Kurtosis,Skew,energy_r2,energy_mape,within_5_years,within_10_years,within_20_years
total,-0.0234342993471639,25.340800582743082,31.227856532662383,1041.3087452338573,3.7801156746300792,,,0.12155018506804836,0.23876015373939224,0.4508634023218824
france,0.1345755680332048,23.83361566245537,29.507719007386044,-0.09543290615522881,-0.5230802584854574,,,0.14035044026987017,0.27012475441858974,0.48520884553656113
spain,-0.14539251556373656,28.582238154785205,34.73267027039643,2597.2480039545476,10.58669003214879,,,0.09345808003530363,0.187646539955788,0.3774173292970619
netherlands,-0.17823426871260106,23.376911601289457,28.806080043813065,0.48306668641942174,-0.5260240284674842,,,0.1284504257152991,0.25632820784242377,0.4950184050883683
