name,MCC,MCC_std,F1,F1_std,Recall_1900-1904,Recall_1905-1909,Recall_1910-1914,Recall_1915-1919,Recall_1920-1924,Recall_1925-1929,Recall_1930-1934,Recall_1935-1939,Recall_1940-1944,Recall_1945-1949,Recall_1950-1954,Recall_1955-1959,Recall_1960-1964,Recall_1965-1969,Recall_1970-1974,Recall_1975-1979,Recall_1980-1984,Recall_1985-1989,Recall_1990-1994,Recall_1995-1999,Recall_2000-2004,Recall_2005-2009,Recall_2010-2014,Recall_2015-2019,MCC_seed_0
Spain_neighborhood-cv,0.12564714700480853,0.0,0.13592798506980167,0.0,0.5108480141569071,0.005877034358047016,0.039412844036697245,0.0452850920221324,0.14103399555952828,0.038433965270033454,0.11768745938578093,0.07871351369109217,0.17490992334416133,0.028977992856319853,0.1278068360677146,0.09037656903765691,0.1615503001973046,0.16575386202323353,0.12081904788343999,0.14104946832092494,0.12044312081491738,0.11978988677332258,0.11299804841388171,0.11640216261540208,0.18730112796993378,0.30280725306103334,0.2288457792393808,0.11929736099954853,0.12564714700480853
France_neighborhood-cv,0.1658833243602402,0.0,0.15881904941233785,0.0,0.6348232115587924,0.018694445463326364,0.06477967531098461,0.0031596824519135825,0.32825600075046024,0.09710150386560319,0.17097991698255324,0.0846473146613399,0.0069692091374075355,0.02001999894742382,0.10601464732074063,0.23683654803401832,0.1627387770324466,0.1699984992622997,0.1828406303551628,0.2293308361547411,0.1916693130471912,0.18689154303132097,0.11327629036709909,0.13660339913027406,0.1749655540177732,0.23173932816152634,0.3707761385503528,0.061546761540929106,0.1658833243602402
Netherlands_neighborhood-cv,0.20876952966600618,0.0,0.2071116570792565,0.0,0.29995504148444846,0.14426885980020668,0.09278931886421485,0.056383430490676754,0.12070966380644253,0.15830054416073672,0.27546787459768746,0.20239164342770713,0.013633139825054506,0.04509924855564087,0.19781288200229377,0.1952144528952272,0.2522785194813792,0.32443060096966964,0.39956645271463903,0.2695289289316954,0.303183808847567,0.2763237564711937,0.19838771868470845,0.2354399714570972,0.23292353740179933,0.18819377027220252,0.32753675651592784,0.23456361644667628,0.20876952966600618
Spain_random-cv,0.36108880942552707,0.0,0.3697935553810077,0.0,0.6922861497312095,0.22603978300180833,0.411651376146789,0.3591413883765648,0.4987630114471901,0.43448303329616056,0.4646477987753657,0.4244813482481644,0.4377161235198814,0.4315493336405884,0.3906339136590764,0.4860052081809404,0.3986774855763115,0.4280240966391714,0.3367040054782098,0.3536228212514387,0.3108940190071514,0.370518063536393,0.32528859635299867,0.3120524757404512,0.3315601780531606,0.3998477438350062,0.4161153189490209,0.47001295754498496,0.36108880942552707
France_random-cv,0.3678553377661474,0.0,0.3640945568571083,0.0,0.6195638696372867,0.24815072931567814,0.2997926769274018,0.17465144752952327,0.4453707938071395,0.35344608401683725,0.335311888524107,0.29434598438806014,0.1563996495017627,0.30106836482290406,0.355448949302103,0.4637506273534324,0.3875583052769788,0.3785406202919227,0.39765868082389705,0.4381336283680122,0.4041362035560218,0.39102360735280395,0.31477628560823095,0.37236917628975297,0.3823550263392321,0.41157619550387886,0.47309997250985064,0.2852060307369281,0.3678553377661474
Netherlands_random-cv,0.7316225743888051,0.0,0.6997061172155661,0.0,0.6257544175147478,0.6325353083017567,0.5848409565469205,0.6666216268385902,0.6449570966380644,0.6690079531184596,0.6746751698652999,0.7060209724576129,0.6635320076702829,0.7587448235930873,0.7381122066104391,0.7731328180595376,0.7584242785315172,0.8026835043409629,0.8092115916853139,0.7961041174384272,0.8032981800679556,0.7929268464977345,0.7539821315949151,0.7462799782930025,0.6953281881305494,0.6959978627172089,0.6388533080864335,0.6461968959121919,0.7316225743888051
Spain_city-cv,0.09319948453480974,0.0,0.09857797981617304,0.0,0.44899272063852197,0.0,0.001889908256880734,0.0003139347800494447,0.06942129696375537,0.006830492273379003,0.0833839635251293,0.0069153566911414445,0.13556234433061157,0.017004647232784116,0.09906662176187171,0.04146648330748749,0.14624984098397867,0.12612492500499967,0.10472217980928057,0.10437464101561732,0.09086442703492233,0.07699776171928928,0.08480712429946947,0.09007694927985606,0.17039556155929048,0.3071888204590019,0.21736659371383393,0.05838517328517739,0.09319948453480974
France_city-cv,0.15254482998689128,0.0,0.14352899873258243,0.0,0.6337513215082815,0.011872012128770372,0.04543537845245625,0.0,0.28678134637258007,0.06684056387897508,0.15459748000294737,0.06108773570204145,0.001487579728160088,0.004894479237934846,0.08103066529331138,0.22619827933751477,0.15093722699336354,0.15553294703955126,0.17333288531971372,0.2212260972592435,0.18079120236069038,0.17999284625672607,0.09803649100098033,0.12271307799320952,0.16106540575363493,0.22077295199900004,0.3696435443965912,0.046061648829138845,0.15254482998689128
Netherlands_city-cv,0.1723640705881238,0.0,0.1632754545126114,0.0,0.16352638247435322,0.027880640716500173,0.07125329594122937,0.0014284059761417596,0.08119988746659164,0.07557136877354542,0.2529324114912385,0.16287078238205524,0.0,0.01769733281307035,0.13859456193923833,0.1721094003874837,0.20920254074856398,0.32004735595895817,0.3870384819220351,0.25404995831433297,0.2481950791782428,0.25541662882342847,0.16428590643746804,0.19193603031783962,0.20145438960913278,0.16764123751683863,0.31155324125640455,0.10999880695437143,0.1723640705881238
Netherlands_block-cv,0.43768589508848027,0.0,0.4156008038616989,0.0,0.39209275077996214,0.27193851188425766,0.21490298882809286,0.3200015442226769,0.3093965395976931,0.34431142737547094,0.3943020622243414,0.39619443750464217,0.25235756127032494,0.3715181189975707,0.4364938148076478,0.4678310373621492,0.48534195093623156,0.5438254030894125,0.5670047697562125,0.5063772161344259,0.5375566494950987,0.516166631346311,0.4969736098781374,0.4907250556916407,0.4534011218984485,0.40189194680875084,0.41585913715007056,0.3251591631327209,0.43768589508848027
Spain_block-cv,0.20322366577571746,0.0,0.22340183792851312,0.0,0.6370263189403426,0.04355033152501507,0.18,0.17886434093317113,0.33489230414347915,0.22612314800063724,0.3010127799409344,0.21416251909525452,0.2902281941947913,0.2370664823136306,0.22741643927886565,0.28632706205927966,0.2509135626323575,0.2601896715657553,0.18187286296609895,0.2007058479238418,0.16391107232960905,0.19219113876208818,0.16299178555987895,0.16149042282799522,0.21564567372402732,0.30294654103531793,0.25107538586701195,0.16998422814660202,0.20322366577571746
France_block-cv,0.21908064680893036,0.0,0.21345114338702573,0.0,0.6186322878734485,0.047989338419591875,0.12403659193665519,0.03661282041154864,0.3517157006445359,0.1684762649138832,0.19906584904579058,0.1249521866632666,0.025961322927067838,0.11526761749381612,0.1878036318218315,0.30522698538506476,0.23377031424820038,0.22987208647367569,0.25283021403850675,0.291593531895475,0.24941036263144187,0.23378121986874437,0.15942779369354793,0.1925577141967682,0.22555105865526584,0.28147829995239526,0.39125996517914413,0.10682832230031203,0.21908064680893036
