	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_n_estimators	param_max_depth	param_learning_rate	param_colsample_bytree	param_colsample_bylevel	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score	split0_train_score	split1_train_score	split2_train_score	split3_train_score	split4_train_score	mean_train_score	std_train_score
0	572.4085838794708	8.149183208064573	6.7842387676239015	0.2029533651065395	750	11	0.05	0.3	0.3	{'n_estimators': 750, 'max_depth': 11, 'learning_rate': 0.05, 'colsample_bytree': 0.3, 'colsample_bylevel': 0.3}	0.3545022484922318	0.3586382709921942	0.31493179322895515	0.3483534746610316	0.3446911871977861	0.3442233949144398	0.015418935117869563	3	0.9838468913914008	0.98303472391946	0.9833392867214379	0.9825854325253661	0.9845970472503859	0.9834806763616101	0.0006929247501267551
1	1100.7254591941833	10.710581429020694	13.093234872817993	0.5514785290172518	1250	12	0.05	0.9	0.3	{'n_estimators': 1250, 'max_depth': 12, 'learning_rate': 0.05, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.3}	0.3626464527967032	0.3608792431830829	0.31427002962896117	0.35365514337065806	0.35604653436308537	0.3494994806684982	0.017908598695315126	1	0.9999736797578538	0.99997555977515	0.9999830798443345	0.9999774398348595	0.9999830798761447	0.9999785678176686	3.871197491480675e-06
2	1032.3669509410859	24.05907619085038	6.724740648269654	0.3413579682525491	500	13	0.01	0.7	0.9	{'n_estimators': 500, 'max_depth': 13, 'learning_rate': 0.01, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9}	0.3293251515288243	0.3319195656424371	0.28694220096557327	0.31940109943824874	0.3199726268452439	0.3175121288840655	0.01607024885224498	9	0.8975014570134046	0.9006655261228403	0.904878644883533	0.8947549496062311	0.8992068221939384	0.8994014799639896	0.003371509201332366
3	693.0494952201843	12.917222755949664	5.4259227275848385	0.11609424766662192	500	12	0.01	0.5	0.3	{'n_estimators': 500, 'max_depth': 12, 'learning_rate': 0.01, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.3}	0.3261065740197627	0.33389733640151004	0.29303343410188154	0.3271919204072885	0.3327116719432684	0.3225881873747422	0.015082696277239797	8	0.8506777462352654	0.8505010246094264	0.8538060950160742	0.8475026837196449	0.8529284034359131	0.8510831906032648	0.002197378017667457
4	922.7635887622833	8.019425686513523	12.472462272644043	0.252537508840069	1250	13	0.1	0.9	0.7	{'n_estimators': 1250, 'max_depth': 13, 'learning_rate': 0.1, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7}	0.35997683827400023	0.3617741280512566	0.31975965949254764	0.35458011535829503	0.34408205930348856	0.3480345600959176	0.015422906963471747	2	0.9999774397924461	0.9999830798443345	0.9999849598616307	0.9999830798761447	0.9999830798761447	0.9999823278501403	2.5501832874453913e-06
5	1046.0642612457275	19.556767201888135	7.927407884597779	0.22960389898343594	750	12	0.01	0.7	0.9	{'n_estimators': 750, 'max_depth': 12, 'learning_rate': 0.01, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9}	0.33837176074237846	0.34491419633322806	0.29665057377912135	0.3333809606172496	0.32749272430570703	0.3281620431555369	0.01676622055650928	6	0.9008084074373485	0.901878137278863	0.9078603523152413	0.8974753295194121	0.9036361346165054	0.9023316722334741	0.0034169582878889777
6	1592.917712020874	25.456649776897308	13.196043348312378	0.29012693298512027	1250	12	0.01	0.9	0.7	{'n_estimators': 1250, 'max_depth': 12, 'learning_rate': 0.01, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7}	0.344237392651416	0.3487569372377386	0.2999217915745462	0.3366146025252487	0.33459169630838415	0.33282448405946674	0.01722888711832919	5	0.9501701415653024	0.949562895978643	0.952149799778158	0.9463650873924397	0.950924120764564	0.9498344090958215	0.0019375827351761524
7	724.1788002967835	11.026078447240558	6.678200674057007	0.15990751277969242	750	11	0.01	0.7	0.7	{'n_estimators': 750, 'max_depth': 11, 'learning_rate': 0.01, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7}	0.33556678548331303	0.3405224924423589	0.296876175006392	0.3291095452597066	0.3300044368575017	0.32641588700985447	0.015332731848718011	7	0.8572596867891185	0.8591321840160929	0.8644939933447388	0.855530342482107	0.8614053854874217	0.8595643184238957	0.003145226598353203
8	2351.6373398780825	33.818885335054965	16.010859966278076	0.6135126807781285	1250	13	0.01	0.5	0.9	{'n_estimators': 1250, 'max_depth': 13, 'learning_rate': 0.01, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9}	0.35332160206951524	0.3504865466468138	0.30812615620628975	0.34863171826706874	0.34247275844694947	0.3406077563273274	0.016626177650152372	4	0.9796770130285198	0.9787445244496249	0.9804741403620914	0.9775150354100592	0.9792766083047728	0.9791374643110136	0.0009883171564236699
9	332.3058757305145	5.213559449563462	3.67346305847168	0.034892711274610314	500	10	0.01	0.9	0.9	{'n_estimators': 500, 'max_depth': 10, 'learning_rate': 0.01, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9}	0.31809021041074464	0.3266179368015762	0.26599136699303644	0.3045865074411364	0.30313512863126707	0.3036842300555522	0.020762248037296302	10	0.7695756800962569	0.770805211407945	0.7768776672745389	0.7684857053153629	0.7770848882613821	0.7725658304710972	0.0036797287934737188
