name,MCC,MCC_std,F1,F1_std,Recall_non-res,Recall_res,MCC_seed_0
Spain_city-cv,0.5073892303095673,0.0,0.751344725657186,0.0,0.6792156090340448,0.8612290104270113,0.5073892303095673
Spain_neighborhood-cv,0.5636921110264683,0.0,0.7795003675733834,0.0,0.7246377071097742,0.87485830262026,0.5636921110264683
France_city-cv,0.5785703435889619,0.0,0.7850439109353021,0.0,0.7526051248511494,0.8795168435854691,0.5785703435889619
Spain_block-cv,0.5805329937411775,0.0,0.7871308338337428,0.0,0.749192450938261,0.8733279709190676,0.5805329937411775
France_neighborhood-cv,0.5934544678591652,0.0,0.7933389869299566,0.0,0.7548259988496989,0.8876807517560219,0.5934544678591652
France_block-cv,0.5947986056620308,0.0,0.7939207132109813,0.0,0.7571040041816726,0.8874495194472869,0.5947986056620308
France_random-cv,0.6054109778883472,0.0,0.7995861343992636,0.0,0.7613440870988496,0.8919183372930266,0.6054109778883472
Spain_random-cv,0.6227717009628614,0.0,0.8081186344326611,0.0,0.785123907749606,0.8827898433872746,0.6227717009628614
