	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_n_estimators	param_max_depth	param_learning_rate	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score	split0_train_score	split1_train_score	split2_train_score	split3_train_score	split4_train_score	mean_train_score	std_train_score
0	25.184024572372437	1.716884094478694	0.8748458862304688	0.03564440309391474	1000	1	0.1	{'n_estimators': 1000, 'max_depth': 1, 'learning_rate': 0.1}	-22.634899850588205	-22.622161015407674	-22.60759275024358	-22.617712041044943	-22.618670736955693	-22.62020727884802	0.008802298057644266	19	-22.610133557725096	-22.61499672350707	-22.621166483240227	-22.61532335527786	-22.61811833906421	-22.61594769176289	0.003661851593667175
1	28.42759766578674	0.08585609316954045	1.0375665187835694	0.053220330212838986	1000	2	0.1	{'n_estimators': 1000, 'max_depth': 2, 'learning_rate': 0.1}	-21.15933992544227	-21.157117946164966	-21.142717075925173	-21.15006900713647	-21.149082434512085	-21.151665277836194	0.005965254143876179	18	-21.130388987067036	-21.13925899361919	-21.146277972000313	-21.136110682345073	-21.141578523664666	-21.138723031739254	0.005325389780603962
2	31.819707345962524	0.06210145330821028	1.3471988677978515	0.049167963247089844	1000	3	0.1	{'n_estimators': 1000, 'max_depth': 3, 'learning_rate': 0.1}	-20.315235619603275	-20.30066158844824	-20.28119465171122	-20.29611540424063	-20.2930694384527	-20.297255340491215	0.011060378987282139	17	-20.266057376306637	-20.270569007746754	-20.263624587704566	-20.261201566319865	-20.26792005819345	-20.265874519254258	0.0032605082292454053
3	35.635356760025026	0.18431274565828215	1.700643491744995	0.04410977654346313	1000	4	0.1	{'n_estimators': 1000, 'max_depth': 4, 'learning_rate': 0.1}	-19.63872578526547	-19.636574159211477	-19.61499243061455	-19.62935936828644	-19.620878810856674	-19.62810611084692	0.009058238862561668	16	-19.560499529604662	-19.56948320005364	-19.55967724205995	-19.566188379265377	-19.55967204415216	-19.56310407902716	0.004012775740238255
4	40.4585464477539	0.015742707116863573	2.064690113067627	0.048359277678287856	1000	5	0.1	{'n_estimators': 1000, 'max_depth': 5, 'learning_rate': 0.1}	-19.02906284636988	-19.02107422403999	-19.01230111949886	-19.013876820379267	-19.016881062825192	-19.018639214622638	0.0060087322479017964	15	-18.88179426023192	-18.882204329820645	-18.89135996693005	-18.88309564146177	-18.883659339472043	-18.884422707583287	0.0035298537642537084
5	46.382912921905515	0.3979378847044682	2.5210702896118162	0.10047411128928596	1000	6	0.1	{'n_estimators': 1000, 'max_depth': 6, 'learning_rate': 0.1}	-18.436948382609955	-18.441404266295308	-18.429652146599885	-18.41195456460587	-18.434873681417237	-18.430966608305653	0.010229146236653663	14	-18.154569271345537	-18.16821101127131	-18.175315519528557	-18.148790457229246	-18.164441548847968	-18.162265561644524	0.009499431727405052
6	54.39414072036743	0.2075273568937339	2.968226766586304	0.06326605954089369	1000	7	0.1	{'n_estimators': 1000, 'max_depth': 7, 'learning_rate': 0.1}	-17.885473101425696	-17.875601794777786	-17.84718125359967	-17.834728592054812	-17.85351644453259	-17.859300237278113	0.018627116618007623	13	-17.354853980595777	-17.34316749971125	-17.340717406665537	-17.326341906959392	-17.33263816059456	-17.339543790905303	0.009704514594055993
7	67.24195485115051	0.22920467765893865	3.537787342071533	0.040924617793278065	1000	8	0.1	{'n_estimators': 1000, 'max_depth': 8, 'learning_rate': 0.1}	-17.320874939150052	-17.316824210211422	-17.293566373147193	-17.317278305455854	-17.295826169863297	-17.308873999565566	0.011682722664048637	12	-16.36243331509064	-16.345697223067912	-16.344996493962263	-16.371649604900288	-16.34418060036513	-16.35379144747725	0.01121455947173486
8	88.4432110786438	0.48649104973913376	4.295919752120971	0.05719652696235073	1000	9	0.1	{'n_estimators': 1000, 'max_depth': 9, 'learning_rate': 0.1}	-16.797590898189753	-16.805867308161567	-16.773436202330252	-16.77807678255981	-16.7781374063771	-16.786621719523698	0.012724566346802663	11	-15.121791099816681	-15.137862128217066	-15.109601152001977	-15.11132684464122	-15.105189792182646	-15.11715420337192	0.011700194783942165
9	124.32392730712891	0.6731577095109609	5.6329046249389645	0.08494997620868282	1000	10	0.1	{'n_estimators': 1000, 'max_depth': 10, 'learning_rate': 0.1}	-16.333397409898716	-16.33899023963153	-16.32989057441926	-16.331663369017015	-16.331741089982916	-16.333136536589887	0.003130100909773632	10	-13.599104443219872	-13.5920343960097	-13.622453129132944	-13.617161100781173	-13.606913997645812	-13.607533413357903	0.011197687583606949
10	188.35391030311584	1.1742318714021758	7.334097385406494	0.06895422595146947	1000	11	0.1	{'n_estimators': 1000, 'max_depth': 11, 'learning_rate': 0.1}	-15.941149443533059	-15.956042132001683	-15.928118023794847	-15.935742545255588	-15.952890424829654	-15.942788513882965	0.010442820528450598	9	-11.753212225186598	-11.77778218575023	-11.806555274017965	-11.793607230785993	-11.778882176944741	-11.782007818537107	0.017854611389361924
11	292.0276257991791	2.5668346705365663	9.270442867279053	0.13287283466614822	1000	12	0.1	{'n_estimators': 1000, 'max_depth': 12, 'learning_rate': 0.1}	-15.649828999364603	-15.666691131925647	-15.633298406960057	-15.653016291869038	-15.65894281268466	-15.6523555285608	0.01112560719778439	8	-9.697545241678977	-9.708894480839538	-9.68886354634229	-9.699427086298174	-9.718732198601353	-9.702692510752065	0.010238492581334155
