name,R2,R2_std,MAE,MAE_std,RMSE,RMSE_std,within_5_years,within_10_years,within_20_years,R2_seed_0,R2_seed_1,R2_seed_2,R2_seed_3,R2_seed_4
10_NLD_Drenthe_239889,0.42538975536001633,0.0022384088532299766,12.16589127156713,0.04288069163806647,18.598218400034643,0.045315890822658876,0.4399855562544618,0.6086015681844476,0.7826421877081147,0.4292119861285404,0.4245429600959796,0.4222992494707083,0.4251574514112938,0.4257371296935599
10_NLD_Zeeland_187945,0.4415170133957161,0.0022187492519538266,13.70095312386383,0.037786377475520896,20.635503217312923,0.039485351520837375,0.4069218531946932,0.5774950380204812,0.7496282490978523,0.43977554106911854,0.44183567906497845,0.43857685728740003,0.4449864636356301,0.44241052592145325
20_NLD_Drenthe_239889,0.46468085948898946,0.001028823135465462,11.53509070850099,0.02942218861954822,17.953169381522486,0.02278826382540256,0.465624390313469,0.6310921552226865,0.7972971993749833,0.4665652733484045,0.46362953338413615,0.46425102608813285,0.46404910485506146,0.46490935976921255
10_NLD_Gelderland_792368,0.4706177083922847,0.0006475596191246841,12.765243010531432,0.010367874069842953,19.239530218821372,0.01162402706301822,0.41486746893652526,0.6028214427980763,0.7727151275204551,0.47140711530444246,0.47002800823059776,0.47118979814053685,0.4697314921689443,0.470732128116902
20_NLD_Zeeland_187945,0.48945420606361073,0.0011505989794435567,12.805845782896725,0.019941264922056293,19.7328240760831,0.032474311898893084,0.43880971955513043,0.6069056438235204,0.7700899257985908,0.48765000433484684,0.49116626734301605,0.4896749660187062,0.4898235355090208,0.4889562571124636
10_NLD_Limburg_428926,0.4920217620722921,0.0012836051089624195,12.056507590681127,0.011679654681224517,17.97171761721772,0.02742368127389414,0.40292610320002054,0.6046579973518547,0.7962259156981373,0.49037897435546063,0.49309787096813595,0.49380105287385134,0.4919055371346188,0.49092537502939393
20_NLD_Gelderland_792368,0.5024767232805921,0.0009061513742473868,12.255045534490115,0.02046292073882269,18.650816800759088,0.020393317182894152,0.4317093896146738,0.6186613448218794,0.7841325015502407,0.5016210128883092,0.5015527189883694,0.5026180750291062,0.5025351713899389,0.5040566381072366
10_NLD_Noord-Brabant_1035722,0.5060073241419027,0.0005603630336077504,10.514529390829265,0.017532642924029864,16.358161220842806,0.01267542555843499,0.46879246362528343,0.6631662376710867,0.8313417959201835,0.506293696616859,0.5062381998096614,0.5057510742655354,0.506693830771297,0.5050598192461612
50_NLD_Drenthe_239889,0.5075880945819853,0.001289739925768681,10.890058715012549,0.02598629032385653,17.22318232861117,0.025088867275541892,0.4888957554765323,0.651651188225704,0.8129049932034217,0.5072795036905133,0.5073698349816906,0.5097608140575904,0.5057406779004858,0.5077896422796461
10_NLD_Overijssel_482926,0.5099858880451604,0.0016955989622612954,12.50341459367875,0.025254190420628632,19.13710926487909,0.0377733531647868,0.4301727552098039,0.6129092225668418,0.7798934119105964,0.5089322684407905,0.5105171926207319,0.5072640800651154,0.5112126808733116,0.5120032182258527
10_NLD_Friesland_273762,0.5238428637639939,0.0010239420911389385,12.844462574029322,0.016136428175485162,19.408572933382047,0.023236973139857505,0.40789796846748755,0.5919908978578994,0.7748452398810698,0.5236391751610412,0.5222543020566834,0.5246332825229792,0.5252243119473272,0.5234632471319385
10_NLD_Groningen_276381,0.5257288732959481,0.0014517621495603685,13.986559979968039,0.016295290580963736,20.64591356495058,0.033711294442492795,0.37585580748659353,0.5519700053369136,0.7447942977056993,0.526394685740126,0.5276283979120668,0.5231944200044911,0.525536462026815,0.5258904007962413
80_NLD_Drenthe_239889,0.5264626390565419,0.003024453164142122,10.63000303373904,0.05475671261319701,16.885591319716475,0.08511426175430231,0.4967480581622133,0.6588653361201235,0.8184184361023382,0.5220381595158632,0.5265002594207779,0.5306457582020292,0.5286429591468719,0.5244860589971672
20_NLD_Limburg_428926,0.5296662671791218,0.0012712439203532789,11.40747396879635,0.027582513321669774,17.293401339920436,0.03225746548796207,0.42865293543848215,0.6291950327746907,0.8118144860699754,0.5286536194225577,0.5297808826004644,0.5290443665902202,0.5320845241709306,0.5287679431114357
20_NLD_Noord-Brabant_1035722,0.5352060332226758,0.0008511291372675639,10.091760993539953,0.01565357614280226,15.862351911219156,0.016179651181779532,0.4858028830416544,0.6784593826176628,0.8411104524068225,0.5358894849745914,0.5345050491724763,0.5340164152811475,0.5363194232149391,0.535299793470225
50_NLD_Gelderland_792368,0.5357642562125597,0.0014107361429568604,11.726037079964524,0.030821776675256846,18.012684204159974,0.03342986880145911,0.45075660447445715,0.6344816936762749,0.7951960176492016,0.5364944242978029,0.5353896842282757,0.5343532450812954,0.5381262932871778,0.534457634168247
50_NLD_Zeeland_187945,0.5421852401853042,0.0018495791109908164,11.879744681864443,0.02955581039553575,18.672927958282344,0.03038427844513015,0.46754475460759054,0.6357829285098419,0.7914873430337592,0.5414242859965882,0.5421142109421251,0.5457580074344344,0.5408163018056464,0.5408133947477276
20_NLD_Overijssel_482926,0.5445983417501854,0.0007509197343717128,11.886293620391871,0.02304200991633629,18.44736663084997,0.022391040453029896,0.4525631232060494,0.6331611874738019,0.7936290199724841,0.5440892837184232,0.5434398598042829,0.5447748818317677,0.5451495802851808,0.5455381031112723
80_NLD_Gelderland_792368,0.5486794499377459,0.0008209801529504717,11.52704199202083,0.01218211030634971,17.76719806340099,0.02096170297398496,0.4577957514887488,0.640690042283183,0.7991936139371948,0.5486801535099022,0.5475569895372894,0.5497721443123211,0.5480173273008238,0.5493706350283931
20_NLD_Friesland_273762,0.5604151870675688,0.0005955102184200515,12.107189926650893,0.016018811426724427,18.64888510346562,0.015907737653952543,0.4363411736713417,0.6178175737486719,0.7921939944020764,0.5604398752569988,0.5605993840921168,0.5598424229452776,0.561416992785491,0.5597772602579595
20_NLD_Groningen_276381,0.563004163383825,0.00029852054237596584,13.137337858896274,0.03222502013250982,19.816334020568476,0.007000206567538688,0.4056366626044195,0.5810136901112728,0.7657864401723298,0.5625973192374969,0.562879519177526,0.5633608937555672,0.5633385115013583,0.5628445732471765
50_NLD_Noord-Brabant_1035722,0.5653345751199386,0.0009500350445680711,9.667795493982386,0.021011422471977095,15.353152455162055,0.02686524138795918,0.5042999922436769,0.6932088212109917,0.85040769685234,0.5669033985732717,0.564889177088017,0.5639854930242172,0.5653850996584789,0.5655097072557076
80_NLD_Zeeland_187945,0.56743595296861,0.004001594064030592,11.469950926092896,0.05746514874312826,18.169506275442963,0.10920378665001669,0.48069450680784137,0.6470994127695056,0.8005313077458179,0.5656769937618535,0.5614934341808303,0.5733801485279189,0.5667688214658034,0.5698603669066438
50_NLD_Limburg_428926,0.5706167872645735,0.0014747749300045858,10.734684480953812,0.019580122027437533,16.520862663049616,0.03408085807479622,0.45424064962654775,0.6533084726056876,0.8277309554653074,0.5731327102394314,0.5706656985280625,0.5688404143902599,0.5709561124747197,0.5694890006903944
80_NLD_Noord-Brabant_1035722,0.5772622125532529,0.0013195042101793125,9.476346903686608,0.025641898570181773,15.125525985921353,0.037649701562835924,0.5129730590783985,0.6995580593747633,0.8549078175950283,0.5774041437212923,0.5788007917592357,0.5760720295196684,0.5754708696776963,0.578563228088372
50_NLD_Overijssel_482926,0.5816992735218749,0.0011935715895484314,11.259414407736124,0.021252197936818935,17.682789078241775,0.038167882899560794,0.4748116579548233,0.6522014143027244,0.8072346282012799,0.5808872701735341,0.5815933466181813,0.5840318421999551,0.5809177310845226,0.5810661775331813
80_NLD_Limburg_428926,0.5866365727247493,0.002270659819366838,10.465663053739222,0.030311045755293288,16.17910596335863,0.041272818886774636,0.46322772821692304,0.6619250918098785,0.8339381939277342,0.5869005615891525,0.587825035487085,0.5822009736354824,0.587833848523514,0.5884224443885132
80_NLD_Overijssel_482926,0.5971318441427378,0.0024143022244010005,11.012944060942793,0.03821171800294023,17.365536034632512,0.05870669279157407,0.4839372181797243,0.6593365257473218,0.8121866829479154,0.5946661973072718,0.5952637838186101,0.5959862762511503,0.6011465618862812,0.5985964014503757
50_NLD_Friesland_273762,0.6017064887716514,0.0006626620533751864,11.339816755440973,0.01859044776144551,17.76564120215936,0.016150670814501347,0.4632798293097543,0.6429856842023973,0.8094504581494034,0.6024993391489287,0.6019401815395093,0.602053253830265,0.6005459426792865,0.6014937266602676
50_NLD_Groningen_276381,0.6022532228737489,0.0018723245805731166,12.313966209128688,0.032756318583631656,18.91278463111084,0.044259332366155986,0.432903655555614,0.6074586555801487,0.7852867249357095,0.6048752375103136,0.6036338756566855,0.6024227186435259,0.6002526753622193,0.6000816071960007
80_NLD_Friesland_273762,0.6178566025731008,0.002421780955627663,10.999863707529409,0.030682354905553655,17.374591534376147,0.051868575057881804,0.4765657087028064,0.6543170458908277,0.8172571422871368,0.6199599251863466,0.6137181728531954,0.6191144181294601,0.6165290960571774,0.6199614006393244
80_NLD_Groningen_276381,0.6191199527561352,0.0030097949642570437,11.988259501058836,0.058164781354355224,18.51186632063102,0.06769065533222711,0.44132844763273793,0.6174070579491534,0.7931494907637424,0.6156513238944872,0.620491764620456,0.6210518122017031,0.6229196474424117,0.615485215621618
10_NLD_Noord-Holland_570857,0.6227603626115348,0.0007442874993878518,9.190537050493663,0.018371891984360567,15.766285117059505,0.01682317854760874,0.576615566549024,0.729510971190765,0.853363917060155,0.6216523850138957,0.6222642990986913,0.6236543611128116,0.6234652499400322,0.6227655178922431
10_NLD_Utrecht_281425,0.6490778058749533,0.0008876900579434521,10.580009623688898,0.020746046117068172,17.621144594091394,0.024008440307649252,0.5231271977450739,0.6865513872488378,0.8257135675557234,0.6496552058174621,0.6498325389899626,0.6479498395378784,0.649909479802231,0.6480419652272329
20_NLD_Noord-Holland_570857,0.6541389137488082,0.0010343062815771978,8.657904075900309,0.025457163422132802,15.096136152356433,0.025092627171491657,0.5981307039872175,0.7477156831792604,0.865000345777722,0.6530509004272024,0.6556173436846959,0.6551004484163443,0.6531974345239768,0.6537284416918218
20_NLD_Utrecht_281425,0.681767953356875,0.0013826166486901972,9.848025593699123,0.052367788292377856,16.77746441507445,0.03509873739855768,0.5514372112775133,0.7107535947433453,0.8421416592775905,0.6822610045040208,0.6804634251167432,0.683715080713678,0.6824605041448235,0.6799397523051101
50_NLD_Noord-Holland_570857,0.6861706995602253,0.0010429235656816995,8.148169441616144,0.02014633236551289,14.383102618906971,0.03625742543025468,0.6166895929078485,0.7631936697523499,0.8762973242748506,0.6871203495852077,0.684486327831672,0.687368479871705,0.6856584433270099,0.6862198971855311
80_NLD_Noord-Holland_570857,0.6995605208089852,0.0032046490835601557,7.928277310558665,0.04478811505580929,14.072226535570863,0.07851277592412075,0.6259579828326192,0.7696347742702667,0.8803747588499533,0.7039262708866962,0.6969333118946226,0.7026799186488555,0.6985201566797169,0.6957429459350346
10_NLD_Zuid-Holland_793635,0.718630371976589,0.0005822060883190884,9.399543118693733,0.027537377211066184,15.37806043218605,0.016168742057057966,0.5255665303421047,0.7148840512787172,0.8589888180466103,0.7194892801988284,0.7187014824980816,0.7176956810247612,0.7188306746380254,0.7184347415232479
50_NLD_Utrecht_281425,0.7187708190586559,0.0012890275962968373,9.069208319646757,0.014893287659965898,15.780631961610817,0.035534627447432326,0.5796180084386112,0.7350862606977577,0.8592854460851862,0.7179689957020976,0.7194493916002227,0.7208084237418836,0.7170324983736006,0.7185947858754753
80_NLD_Utrecht_281425,0.7325556652948407,0.0022806593740811276,8.766828577423983,0.05082343242204568,15.375947184961154,0.07734895948188827,0.5905059946427861,0.7443536895397789,0.8653315276318745,0.7287284395653844,0.7323622519290044,0.7325260781425905,0.7333319932767831,0.7358295635604407
20_NLD_Zuid-Holland_793635,0.7492802152980509,0.0011444043832553991,8.724164600117518,0.03942610156301463,14.515746196975874,0.03255707706028085,0.5528285510475486,0.7383173290595603,0.8743104037134973,0.7505453948626886,0.7484335559604076,0.7478539330139811,0.7507029875773858,0.7488652050757911
50_NLD_Zuid-Holland_793635,0.7785653491947155,0.0007442661245863329,8.07760758484643,0.009184305646050998,13.638728724249983,0.02668294293794034,0.5801805532435843,0.7603942339100123,0.8881282078385044,0.7785738471666344,0.7779983236015517,0.7786488364118955,0.7777239189173413,0.779881819876155
80_NLD_Zuid-Holland_793635,0.7892681432034662,0.0012498737647118508,7.841582177350743,0.02258214840529875,13.30468575221821,0.040699792513464755,0.5904230521960712,0.7678772843825681,0.892866575902468,0.7898018409702303,0.7880412671013687,0.7876975565873418,0.7896958219920587,0.7911042293663318
10_NLD_Flevoland_174896,0.8520949141947947,0.001713458756108146,2.1126951448497495,0.017444999879819848,5.17829960143661,0.032119516539098364,0.901892070900163,0.9481132007848917,0.9812660654499321,0.8530965656253758,0.8516528601049952,0.8493276860866295,0.851897457329386,0.8545000018275865
20_NLD_Flevoland_174896,0.8757986956795036,0.0012023762143055694,1.8439003404583278,0.013413505966182612,4.745586899805095,0.02606735919216433,0.918537451749291,0.956630689782809,0.9846806555141538,0.8767934158717196,0.8766122324898686,0.8742060332980622,0.8744626031235987,0.8769191936142696
50_NLD_Flevoland_174896,0.8972306626303921,0.0015816205311166534,1.6177385069518457,0.00874397854992545,4.31783814567415,0.03255839609708018,0.933472388105883,0.9643598809060577,0.9875214980622472,0.898594872470187,0.899404230024017,0.8960511685935,0.8969869882469593,0.8951160538172968
80_NLD_Flevoland_174896,0.9059523179874421,0.0034532007911423647,1.5321393037395041,0.028670686900105453,4.135203236279969,0.07331041427503929,0.9390552115923795,0.9672548199233517,0.9890106108061308,0.9077497656011151,0.9103696762339546,0.9060660458760716,0.9056898611499086,0.8998862410761608
