name,R2,R2_std,MAE,MAE_std,RMSE,RMSE_std,within_5_years,within_10_years,within_20_years,R2_seed_0
125-Flevoland_,-1.1500927383071828,0.0,16.095410704995118,0.0,19.746193957588943,0.0,0.17399781580737936,0.35736135808751635,0.6747211151961485,-1.1500927383071828
150-Flevoland_,-1.1239296967640144,0.0,16.00241526931489,0.0,19.62568712520701,0.0,0.1747582807773896,0.3693401108106099,0.6719422732756599,-1.1239296967640144
25-Flevoland_,-1.0084626311957723,0.0,15.955148628487311,0.0,19.084759007117626,0.0,0.16215057206406203,0.335799603185948,0.6766422898572271,-1.0084626311957723
75-Flevoland_,-0.3358102155099085,0.0,12.5115190247852,0.0,15.564213607638997,0.0,0.22550359362581693,0.4652330281943817,0.8132515309360581,-0.3358102155099085
100-Flevoland_,-0.2997579392959626,0.0,12.231127355815413,0.0,15.352745184265837,0.0,0.25593934577141453,0.4890818957877102,0.8070877622317646,-0.2997579392959626
100-Friesland_,-0.03919796573270218,0.0,23.48695934185533,0.0,28.677419503874376,0.0,0.12656218026935057,0.25048693793720206,0.4847135592321159,-0.03919796573270218
150-Groningen_,-0.019234148929928807,0.0,25.390858467793315,0.0,30.257140816316294,0.0,0.11084954208786972,0.22092435748210082,0.4215523726472823,-0.019234148929928807
50-Flevoland_,-0.01699370337287731,0.0,10.466297186803368,0.0,13.580442916494327,0.0,0.31133893294757364,0.577089992166639,0.8694973498081684,-0.01699370337287731
25-Noord-Holland_,-0.004154084891723864,0.0,20.06462342160013,0.0,25.7287888946051,0.0,0.16678175689384528,0.3311181430844418,0.5957325255660482,-0.004154084891723864
50-Limburg_,0.04470019042252449,0.0,19.356745471453525,0.0,24.640595855560576,0.0,0.18893456908612546,0.3480114789401557,0.596327121144838,0.04470019042252449
100-Noord-Brabant_,0.06907220823619764,0.0,17.065715039469733,0.0,22.455454320560815,0.0,0.22007685809573568,0.40911554594151167,0.6688119222825,0.06907220823619764
150-Noord-Brabant_,0.08662063671715292,0.0,17.21382237007021,0.0,22.242799432476634,0.0,0.20859795012524843,0.39194406058800835,0.6566923674149019,0.08662063671715292
75-Drenthe_,0.09039445543394575,0.0,18.135128241180887,0.0,23.391197130963743,0.0,0.19277631989739522,0.37479432636082116,0.6422333414899631,0.09039445543394575
150-Limburg_,0.09778663564854428,0.0,18.63884274499307,0.0,23.946165958890294,0.0,0.19824807689552923,0.36934826932534964,0.6181987040830457,0.09778663564854428
150-Gelderland_,0.1156555498655053,0.0,19.28530660276317,0.0,24.865923942317394,0.0,0.19102959329416858,0.358696059613135,0.6001938848711634,0.1156555498655053
100-Drenthe_,0.11697968399331782,0.0,18.046651118764068,0.0,23.046832600959426,0.0,0.18726215689418038,0.36303190367301474,0.6368499658265337,0.11697968399331782
150-Drenthe_,0.12864556361958845,0.0,17.500240147252107,0.0,22.89408668445918,0.0,0.2115379747369487,0.3987790368989056,0.6560672668821141,0.12864556361958845
75-Zeeland_,0.12895547361417758,0.0,19.813634393183207,0.0,25.765459622314403,0.0,0.201374945074504,0.36449393455661916,0.5964547330481843,0.12895547361417758
25-Gelderland_,0.1349137478395961,0.0,18.965697896640734,0.0,24.59368344493306,0.0,0.19893234064279297,0.3696363366099876,0.6141174037523185,0.1349137478395961
150-Noord-Holland_,0.13624952664064394,0.0,19.042793531724957,0.0,23.862355588612928,0.0,0.17076126846041312,0.3292066961155269,0.6030971136082922,0.13624952664064394
50-Gelderland_,0.1392194184884603,0.0,19.001097114457913,0.0,24.53240378045997,0.0,0.19146260283976707,0.3664385288015976,0.6102590948161648,0.1392194184884603
125-Gelderland_,0.14130902216895802,0.0,18.916450619624996,0.0,24.50260864377706,0.0,0.19577460237444338,0.36930802489481745,0.6119420154978641,0.14130902216895802
125-Noord-Brabant_,0.14547046728250523,0.0,16.42008668425728,0.0,21.514308239610443,0.0,0.22565908014434088,0.42057101561088517,0.6851103309195139,0.14547046728250523
125-Drenthe_,0.14650299542047895,0.0,17.60591023452299,0.0,22.65827795791791,0.0,0.19802468927459435,0.3846329094698472,0.6488148979436855,0.14650299542047895
25-Noord-Brabant_,0.1492340588758143,0.0,16.099011668875896,0.0,21.46687838592286,0.0,0.2417172461949383,0.4431108485153301,0.6947053854379788,0.1492340588758143
125-Zuid-Holland_,0.15023882207965822,0.0,21.91000909758959,0.0,26.723991607271493,0.0,0.1370507392691982,0.2749573373282095,0.5134774962548037,0.15023882207965822
50-Drenthe_,0.15974706718062182,0.0,17.279690840239606,0.0,22.481791616534313,0.0,0.20648789584265018,0.39610000590652505,0.6659480394555872,0.15974706718062182
50-Zuid-Holland_,0.16510528525773738,0.0,21.703547123958877,0.0,26.48919372783364,0.0,0.1382478994333355,0.27388393147918977,0.5178844525499903,0.16510528525773738
125-Zeeland_,0.16515690564007668,0.0,19.257514154939088,0.0,25.224359400432277,0.0,0.21409541184388367,0.38525160048723783,0.6049925190083931,0.16515690564007668
125-Limburg_,0.16955354312673998,0.0,17.75123110982213,0.0,22.974029708586105,0.0,0.20979147865365974,0.3873664809217532,0.6404069198336413,0.16955354312673998
150-Overijssel_,0.17067205893629334,0.0,19.260800781906784,0.0,24.894881267091765,0.0,0.2026531989079514,0.3720195122771399,0.5977978280927191,0.17067205893629334
75-Noord-Brabant_,0.17347181413558932,0.0,15.988738752982051,0.0,21.15888033369156,0.0,0.23683329020034866,0.43794172652385577,0.6962777048043634,0.17347181413558932
100-Gelderland_,0.17423323431010496,0.0,18.4329108378765,0.0,24.028273886044495,0.0,0.21125566305394525,0.3850062366300224,0.6198641513336047,0.17423323431010496
75-Gelderland_,0.1757449587690436,0.0,18.18783085377178,0.0,24.006269628513323,0.0,0.21923984204845828,0.40672134220033473,0.633425751788588,0.1757449587690436
100-Noord-Holland_,0.1774402795770793,0.0,18.198015295114388,0.0,23.2864284258488,0.0,0.19310419699650103,0.3689964725438618,0.6248260298498962,0.1774402795770793
25-Utrecht_,0.17835972601889116,0.0,21.736592285286914,0.0,26.963466861268092,0.0,0.1569335439905864,0.30341609328548336,0.5298848594376038,0.17835972601889116
125-Utrecht_,0.18370712533928057,0.0,21.785701672687388,0.0,26.875581815506504,0.0,0.14661084982606112,0.28263140723688307,0.5253723464700858,0.18370712533928057
75-Overijssel_,0.18457703493945654,0.0,19.165129071983394,0.0,24.685298307262396,0.0,0.19129135377456635,0.35321340975151483,0.6077767479397986,0.18457703493945654
125-Groningen_,0.18586956462131343,0.0,21.683591389376684,0.0,27.041943357370577,0.0,0.16755803900580485,0.3100291551736398,0.5246808462859902,0.18586956462131343
50-Zeeland_,0.1878888585325591,0.0,18.80088862548816,0.0,24.878572097179845,0.0,0.2154581203521906,0.396431372330899,0.6237923343474852,0.1878888585325591
50-Noord-Holland_,0.18874191388277894,0.0,18.11801719045674,0.0,23.12590212363462,0.0,0.189421902975379,0.36686611684387005,0.6320678154332435,0.18874191388277894
100-Zeeland_,0.19344978637348298,0.0,18.714294435970125,0.0,24.79324781966428,0.0,0.22091451646096258,0.39995772822586473,0.6274633042065977,0.19344978637348298
125-Overijssel_,0.19513380132890035,0.0,19.05735311885537,0.0,24.524985261745748,0.0,0.18664657431752216,0.35327646105636157,0.6164463023562272,0.19513380132890035
100-Utrecht_,0.19520375319542604,0.0,22.011067084699917,0.0,26.68565353672586,0.0,0.13387243994618708,0.2593320307774646,0.5027694586084158,0.19520375319542604
75-Zuid-Holland_,0.19752809289069395,0.0,21.445196688643403,0.0,25.969752007080075,0.0,0.1286054842701752,0.2662320067739204,0.5212245163811633,0.19752809289069395
50-Overijssel_,0.19910709040292618,0.0,18.80370723718681,0.0,24.46437555104834,0.0,0.21859887390369542,0.38561757702242316,0.605614088183555,0.19910709040292618
75-Noord-Holland_,0.20563785555621106,0.0,17.65571675409853,0.0,22.883815293658593,0.0,0.19973552977692666,0.3808139845304497,0.6541686985431001,0.20563785555621106
125-Noord-Holland_,0.2059128179286419,0.0,17.845207878365542,0.0,22.879854422172038,0.0,0.18598877336361275,0.36541562403226324,0.6471725178775464,0.2059128179286419
100-Limburg_,0.20843919208760053,0.0,17.140660500744666,0.0,22.429701898044293,0.0,0.2185701939100498,0.40479021329627984,0.6609773333906326,0.20843919208760053
100-Zuid-Holland_,0.20915969598456852,0.0,20.735795919109865,0.0,25.7808528973855,0.0,0.1570820035172279,0.297488438741614,0.5512525239366899,0.20915969598456852
50-Noord-Brabant_,0.21159506289974273,0.0,15.709792897202908,0.0,20.665147804421956,0.0,0.22653118026495045,0.4284189401004917,0.7084939426640559,0.21159506289974273
150-Zeeland_,0.21182110721168235,0.0,18.461249453542372,0.0,24.509255336933595,0.0,0.22770581070032092,0.40386230525783,0.631874030113077,0.21182110721168235
25-Drenthe_,0.21216353098087182,0.0,16.314208733051043,0.0,21.76927370373374,0.0,0.2412182629753698,0.4367073654367032,0.6846590669378043,0.21216353098087182
75-Limburg_,0.21242597444495204,0.0,17.195362020408755,0.0,22.37314577519011,0.0,0.21332970438386645,0.4001776275265367,0.6585182426334713,0.21242597444495204
100-Groningen_,0.21412274162393063,0.0,21.341283545649752,0.0,26.568575146380958,0.0,0.15524475001029225,0.3033036292390088,0.5404298797489436,0.21412274162393063
150-Zuid-Holland_,0.21915234952541374,0.0,20.91717460839545,0.0,25.61745827913964,0.0,0.14713215658177556,0.28972969452224323,0.5348244642740833,0.21915234952541374
125-Friesland_,0.22414834055320199,0.0,19.33284228666609,0.0,24.778800102527946,0.0,0.19198617626774386,0.35004206234321356,0.5965046571729558,0.22414834055320199
25-Limburg_,0.2292797345352816,0.0,16.884694374039043,0.0,22.132463127452013,0.0,0.2264034723316478,0.410715905781012,0.6679940981821828,0.2292797345352816
50-Groningen_,0.23447044572312747,0.0,20.89075475524473,0.0,26.222366578943088,0.0,0.1629770463825503,0.3118555639972903,0.5539707550029753,0.23447044572312747
150-Friesland_,0.2472910554814407,0.0,18.838242699235565,0.0,24.406441538122245,0.0,0.19335036037196754,0.36228561467862097,0.6175623545817639,0.2472910554814407
50-Friesland_,0.24844207970837284,0.0,18.636189455615494,0.0,24.387773530067214,0.0,0.2105352906848962,0.38475675839541634,0.6182520254344548,0.24844207970837284
25-Zuid-Holland_,0.2562447733642338,0.0,20.10231355053776,0.0,25.001605547518086,0.0,0.15687096984302742,0.3098482381293558,0.5658581384745652,0.2562447733642338
25-Zeeland_,0.2580660514415225,0.0,17.808899609158818,0.0,23.779369639838773,0.0,0.23740607044924883,0.4226509964458337,0.6495725544944351,0.2580660514415225
100-Overijssel_,0.2602436231749068,0.0,18.05387347856093,0.0,23.512091832017656,0.0,0.1905158227249513,0.37353694701378515,0.6514082508937522,0.2602436231749068
25-Overijssel_,0.2615379216248711,0.0,17.83466194562633,0.0,23.491514120457847,0.0,0.2258770961931724,0.4073702771945532,0.639209925116067,0.2615379216248711
25-Groningen_,0.2624160119553137,0.0,20.236079359526958,0.0,25.73929477143458,0.0,0.1732580812976485,0.3338211242145132,0.5742708399609269,0.2624160119553137
75-Groningen_,0.26452227698418695,0.0,20.17942437433495,0.0,25.702517579771875,0.0,0.17498718145446515,0.33740283168220486,0.5780284515571258,0.26452227698418695
50-Utrecht_,0.2679082547895385,0.0,20.382980131051834,0.0,25.451748727434868,0.0,0.15642400759539143,0.30681422449660367,0.5680047801112182,0.2679082547895385
75-Friesland_,0.26791788446393794,0.0,18.445126244869805,0.0,24.06970813379697,0.0,0.2052111832781344,0.38447255337370306,0.6273200603272526,0.26791788446393794
150-Utrecht_,0.27586812242457315,0.0,20.239113789426067,0.0,25.313005016524585,0.0,0.16752383640582558,0.3175034916073124,0.5585215379934529,0.27586812242457315
75-Utrecht_,0.2782844253344622,0.0,20.15058286279782,0.0,25.27073716572878,0.0,0.16287569144821973,0.32140749348416586,0.5727775598705265,0.2782844253344622
25-Friesland_,0.3018905595536687,0.0,17.748767977706898,0.0,23.50459004839349,0.0,0.2308161610343547,0.41493554230107543,0.645899489946721,0.3018905595536687
