	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_n_estimators	param_max_depth	param_max_bin	param_learning_rate	param_colsample_bytree	param_colsample_bylevel	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score	split0_train_score	split1_train_score	split2_train_score	split3_train_score	split4_train_score	mean_train_score	std_train_score
0	7.310106325149536	1.0900267968438035	0.3472085475921631	0.012638822698895883	1000	12	256	0.001	0.7	0.7	{'n_estimators': 1000, 'max_depth': 12, 'max_bin': 256, 'learning_rate': 0.001, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7}	-710.9721710837342	-724.8311619284916	-728.3663489819985	-727.3299705689751	-721.9028089088566	-722.6804922944112	6.26516673988705	46	-725.7700399349935	-724.4517598098633	-724.183997892698	-724.3123774114587	-724.6959287762872	-724.6828207650602	0.5695013686839593
1	6.441458797454834	0.26963268063449297	0.3040804862976074	0.029368264218038766	500	10	128	0.005	0.5	0.3	{'n_estimators': 500, 'max_depth': 10, 'max_bin': 128, 'learning_rate': 0.005, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.3}	-146.6784729884789	-163.27396401387986	-164.55920006284555	-163.59441462525905	-158.21201849237042	-159.26361403656674	6.668936953219932	43	-162.45676100331332	-162.0714835559285	-162.0693877160443	-162.09282991325685	-162.11989566983348	-162.16207157167528	0.14846653546669478
2	138.84737396240234	4.964803860543984	0.8986227512359619	0.020994439897464995	1000	12	512	0.01	0.9	0.5	{'n_estimators': 1000, 'max_depth': 12, 'max_bin': 512, 'learning_rate': 0.01, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5}	-34.748804478100745	-23.729510691830335	-21.286211078149428	-21.161080026069282	-24.76185236992024	-25.137491728814005	5.002900378239929	9	-14.088499910091397	-13.034047186227731	-13.731966330776162	-13.1130314765798	-13.092916544344476	-13.412092289603914	0.422865297158486
3	125.49187216758727	1.9002856618066941	1.0094316005706787	0.04445332271711893	1250	12	128	0.005	0.9	0.5	{'n_estimators': 1250, 'max_depth': 12, 'max_bin': 128, 'learning_rate': 0.005, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5}	-33.386826141822034	-24.272193841757282	-22.09791555101611	-21.94612981159368	-24.535860294996358	-25.24778512823709	4.207735973909959	13	-16.85216070988125	-15.903677413747017	-16.260040334100605	-16.01875011834754	-15.802752221039253	-16.167476159423135	0.3747249190577844
4	5.057176017761231	0.08094267034308598	0.2554181098937988	0.014130217954228013	500	6	128	0.05	0.9	0.9	{'n_estimators': 500, 'max_depth': 6, 'max_bin': 128, 'learning_rate': 0.05, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9}	-38.805019010107685	-23.59681570096107	-21.45727602614218	-21.199699041180665	-24.811370106317874	-25.974035976941895	6.554883788351381	32	-18.55503776168113	-17.6662134831201	-18.1197328514518	-17.90508454683755	-17.637899144022978	-17.976793557422713	0.3380087542423882
5	22.282690906524657	0.22759271280130633	0.47370376586914065	0.013890121461659955	1000	8	512	0.1	0.9	0.5	{'n_estimators': 1000, 'max_depth': 8, 'max_bin': 512, 'learning_rate': 0.1, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5}	-36.82920174308399	-23.989893780649282	-22.00914367799738	-21.61958646488643	-25.19387573454812	-25.928340280233044	5.604484901953527	29	-12.170625687542207	-11.15201893912133	-11.489446924930457	-11.149991726957108	-11.161390912281774	-11.424694838166577	0.3949046891099602
6	68.34711394309997	1.396035112686881	0.6515097141265869	0.02233498151091529	750	11	128	0.05	0.3	0.7	{'n_estimators': 750, 'max_depth': 11, 'max_bin': 128, 'learning_rate': 0.05, 'colsample_bytree': 0.3, 'colsample_bylevel': 0.7}	-34.75181238160568	-24.368387124850972	-21.824733023080537	-21.354588801138764	-25.019119445254873	-25.463728155186168	4.853725770523405	17	-9.624452824578555	-8.911581763405138	-8.965452929546638	-8.81740786840908	-8.725858100028193	-9.008950697193521	0.3184480201544381
7	94.97721390724182	1.0541889777605244	0.8168037414550782	0.02163484361756721	1000	11	512	0.025	0.3	0.3	{'n_estimators': 1000, 'max_depth': 11, 'max_bin': 512, 'learning_rate': 0.025, 'colsample_bytree': 0.3, 'colsample_bylevel': 0.3}	-34.46875815734363	-23.845553227000988	-21.544006351033484	-21.13433716658262	-24.942872913130536	-25.187105563018253	4.851919015869969	11	-12.341200072264071	-11.27934015796848	-11.713339461433222	-11.418581453762618	-11.296461920466891	-11.609784613179055	0.3973953890784668
8	6.9835151672363285	0.37590571941614254	0.3748058795928955	0.03332311122387366	1000	11	512	0.001	0.7	0.5	{'n_estimators': 1000, 'max_depth': 11, 'max_bin': 512, 'learning_rate': 0.001, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5}	-710.7981540349576	-725.0075346280499	-728.4174696235636	-727.3497194293913	-721.8973766003204	-722.6940508632566	6.355029983631072	47	-725.7712534829901	-724.4538257032218	-724.185393039908	-724.3149185805198	-724.6965951624625	-724.6843971938204	0.5692254715544514
9	32.65382285118103	0.24661744852296946	0.5325598239898681	0.019349365211263205	1000	9	256	0.05	0.9	0.5	{'n_estimators': 1000, 'max_depth': 9, 'max_bin': 256, 'learning_rate': 0.05, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5}	-35.473234305908704	-23.888732783537463	-21.637947140446293	-21.44390192531219	-24.89902554606866	-25.46856834025466	5.172720734642083	18	-12.639806115431494	-11.708347156890357	-12.093228735147932	-11.721504425208929	-11.669091661241072	-11.966395618783958	0.37000504995164485
