name,R2,R2_std,MAE,MAE_std,RMSE,RMSE_std,within_5_years,within_10_years,within_20_years,R2_seed_0,R2_seed_1,R2_seed_2,R2_seed_3,R2_seed_4,R2_seed_5,R2_seed_6,R2_seed_7,R2_seed_8,R2_seed_9,skew,kurtosis
2-cities_,-3.3216712007231877,1.1497378329893464,47.65005050509101,7.202082985355841,54.15572983658916,7.341673992402185,0.04703652796867841,0.09400522423138942,0.18900769354349264,-1.718936725546,-3.403579919550859,-3.336109626449841,-3.7999732229033523,-2.3219392209308936,-2.596979134713684,-4.8524685598914665,-5.180794896815351,-4.204433573871016,-1.8014971265594082,-0.4973094272632836,0.013295245877038652
1-cities_,-3.2820048425919404,1.6535477147189854,46.916130861501706,11.200933686833146,53.16638103630262,11.518047816696212,0.0509255457774763,0.1029750748231318,0.2061810154525386,-2.268018495424717,-2.7192554801424214,-4.239594772200164,-5.3283909131866425,-1.4385975351992686,-4.994322087967868,-4.324685663424502,-2.251785277092455,-5.0316253020040405,-0.22377289927732513,-0.4989111745309115,0.03264128873428862
4-cities_,-2.1721083705822295,1.0610964681723822,39.79657105978999,7.2917327895583135,46.208194547974486,7.554699480091343,0.06330066701177535,0.12740162915097314,0.25874523244259595,-1.0922225517678226,-3.1545214249436517,-1.6670411207118128,-2.7367335144813243,-1.6037790680740769,-2.979158220722735,-1.1744225171106408,-4.4483899575120525,-1.8252161604176016,-1.0395991700805784,-0.42415523273229383,-0.04585589860157402
8-cities_,-1.3722926075754933,0.5192645390660068,33.969909953346416,4.111666488565742,40.25085089357156,4.402310867410039,0.08163426810184277,0.1630668261306772,0.3226724502121229,-1.3296790288725253,-2.142615699798428,-1.2311175523458253,-2.181894061279744,-1.9471136167859178,-0.5780515741799408,-0.9826842672740179,-1.0624522358062767,-1.360410443808731,-0.906907595603526,-0.3811715886189271,-0.1027537184673506
16-cities_,-1.075225804359762,0.34394977021529816,31.77563179933885,2.7539742146085975,37.75215968220705,2.9967342413129,0.08417438698583268,0.1691550192487341,0.3450105020141257,-1.0043036439512645,-0.9914351651882831,-0.863331901391839,-1.4635579687599467,-1.9167370306245344,-1.0009939830835686,-0.6934596393805588,-0.803915254067116,-0.8787740513413158,-1.1357494058091957,-0.39774392583359724,-0.04662804197841752
32-cities_,-0.549031968204704,0.3272022083844901,26.89662984838705,3.1226558800726725,32.54191664256622,3.40186125142564,0.11194195034005103,0.2214270838911599,0.4227563473221351,-0.12304444223992217,-0.25518552504724323,-0.19609763545798908,-1.1508493819544632,-0.43394213690011196,-0.7610470989737823,-0.3914490933348147,-0.5087762803923379,-0.650720138996068,-1.0192079487503083,-0.34852888931121695,-0.025418482922163265
64-cities_,-0.4121713712645573,0.25052331924321586,25.566343505846298,2.464047661072354,31.132058492786854,2.5996971235103437,0.12092667630590907,0.23745143190351242,0.4476636737413945,-0.26871302104748174,-0.3526828161863167,-0.261313318896361,-1.0612439573948227,-0.3976437631140064,-0.3141972963355497,-0.2609064680496007,-0.2073486366737216,-0.685625118230057,-0.31203931671765495,-0.3572214717016134,0.006123721302026874
256-cities_,-0.30763818469654625,0.09390501073272718,24.465966802322523,1.0351837213569453,30.041619443981585,1.1049115022549318,0.12967042121109346,0.2533853376412417,0.4694757323146678,-0.4522772298991733,-0.3500168859552464,-0.3033289451151493,-0.33668422191369873,-0.22310284339234543,-0.07797810201035027,-0.3656924006095965,-0.32781662013207136,-0.30182020435843127,-0.3376643935793995,-0.34243646773878134,0.09791323304298545
128-cities_,-0.2903366723622103,0.17298467979224774,24.236459028728017,1.7170577317934532,29.802360711875828,1.8925654038947415,0.1320231103812261,0.25795088746481976,0.47638802115873213,-0.1469571158287788,-0.32281712165288967,-0.27527159244907007,-0.7700410951467453,-0.2608897418508376,-0.20923299507013304,-0.22925507421713354,-0.20717318915512695,-0.35107774074610787,-0.13065105750527994,-0.32593651921533034,0.05989768221722107
2048-cities_,-0.3144791629337872,0.0105357485222732,24.479987290213064,0.1194499513599719,30.140221901607067,0.1208696101095389,0.12625741537399665,0.2501704717873655,0.47172548389591995,-0.32569540777011263,-0.3251712637257522,-0.3069628999837746,-0.3160815472039846,-0.298484695985312,,,,,,-0.3521023548803821,0.24371185787131405
1024-cities_,-0.2846573906617125,0.013085037182912332,24.144492646515694,0.1389691525498551,29.796215212524782,0.15188005722831102,0.1324098701082332,0.2583519275509779,0.47919887185162713,-0.299407635398212,-0.2929153874181549,-0.27095340775533394,-0.26698137948256795,-0.2930291432542935,,,,,,-0.37275369622214527,0.21560701282147895
512-cities_,-0.28195093766199103,0.0359673759176279,24.2791130524191,0.39284925027294926,29.762245795191994,0.41926289870883177,0.12700237410970885,0.2506702843576516,0.4741709954005343,-0.30829198093336085,-0.22520879119703618,-0.2540421864319582,-0.3172630131282119,-0.30494871661938805,,,,,,-0.3972740953027813,0.15311442517535773
3483-cities_,0.38729159901387994,0.001210624314359723,15.257483455998226,0.039381293452828134,20.57784018019834,0.0203390988096982,0.26458054420068666,0.4679745095589154,0.7165729518097379,0.38624891847782905,0.3895070142032616,0.38692456824166865,0.38754962453216446,0.38622786961447597,,,,,,-0.22717118806839923,0.8995081993134623
