,R2,MAE,RMSE,Kurtosis,Skew,energy_r2,energy_mape,within_5_years,within_10_years,within_20_years
total,-0.09290305344669414,25.852499035955177,31.83225114390991,742.7213402219264,2.6825224413949003,,,0.11723571359410487,0.23170893290005418,0.4444371306411365
spain,0.07617610458733559,22.641856703393792,28.662060922671834,0.2203738295835289,-0.583579494945985,,,0.14681897236009614,0.2870732796957165,0.5267812374905902
netherlands,-0.11308534039365803,27.921448629150728,33.544306559938235,0.019312202554964575,-0.5150114534843376,,,0.10494332301419156,0.20554696931973523,0.39339042527704315
france,-0.18290459802713777,26.76641139263228,32.727943412473,1454.484728424213,5.591008263070468,,,0.10610249071149863,0.21219577063762812,0.42045661700902004
