name,R2,R2_std,MAE,MAE_std,RMSE,RMSE_std,within_5_years,within_10_years,within_20_years,R2_seed_0,R2_seed_1,R2_seed_2,R2_seed_3,R2_seed_4,R2_seed_5,R2_seed_6,R2_seed_7,R2_seed_8,R2_seed_9
1-cities_,-0.4383506123543787,0.5442911762513654,26.756256268956246,5.38799634322163,32.381405685709595,5.959524173505815,0.11604639060292914,0.22863132852576018,0.4348055906624043,-0.6076348965829932,0.03080088202443354,-0.05494319404202752,-0.12560291626938302,-0.7118366108984042,-1.6535185501287089,-0.5098098838076837,0.11206959119080784,0.12046579689767112,-0.9834963419274991
2-cities_,-0.031133571172471654,0.15709147234239249,22.498525278909472,1.778594371083834,27.799603852606772,2.0827204776572903,0.14933982603523904,0.2850368002379005,0.5090803657720616,0.003375453954956642,0.07912794268725887,0.03897405073681681,0.04477297942360936,-0.23998621362050288,0.04489140094498856,-0.27427633415006936,0.17034075506964785,0.09358942792064495,-0.27214517469206734
4-cities_,0.1361708847918551,0.06906201843633508,20.41956899578142,1.040319908423346,25.494781675955615,1.0373077469922498,0.16487398706415882,0.3149029811909895,0.5606661214779569,0.08959510663104875,0.08784435499565724,0.12697145204842974,0.10598582121918854,0.05333568518911813,0.07578902249980968,0.25053255368817295,0.25850368996529893,0.11908658030243457,0.19406458137939253
8-cities_,0.18415207156177069,0.05308794909978533,19.832316751506337,0.9781637599618123,24.783783181846356,0.8130319377491227,0.16734963943201248,0.32012712809456545,0.5750278789681065,0.10627765573176862,0.15870100265886644,0.19394969772746906,0.22709451341587472,0.14483992258505818,0.1389077609391749,0.20190948097644523,0.2845511366439727,0.1406879030518463,0.24460164188723088
16-cities_,0.22624771549194528,0.05846334437589402,19.185900561819288,0.7971754346604893,24.133040845928512,0.8753155762388131,0.17098431343394543,0.33171734443535794,0.5972381235595866,0.05556027942322317,0.23662692177675637,0.2492881889287184,0.22685618228675852,0.23079237749403403,0.23899318544328318,0.24582997602669654,0.2743765746007516,0.24234959339840734,0.26180387554082407
32-cities_,0.27085137791133207,0.017356589666906376,18.537868020166368,0.3328224839157807,23.44088332378768,0.2783251988819686,0.17883651773102371,0.34622258568136194,0.6149342056352688,0.2399936484295927,0.2746695392308036,0.2437652741964349,0.2695214332686686,0.277694965545491,0.2965180544479421,0.26278468626807105,0.2901276691881234,0.2696770736650287,0.2837614348731644
64-cities_,0.31649990783256765,0.013333750349330813,17.736651425740593,0.25567673350387915,22.695784605964352,0.2212877951367606,0.19074641290610367,0.37212549252843663,0.6392030332317299,0.3241689642553962,0.3002013671505177,0.3149122795967544,0.3018610269779821,0.31699826490944183,0.3369010980138962,0.3250608237416792,0.31615267868704733,0.29516600288562,0.3335765721073417
128-cities_,0.34438252099579764,0.017787425236777586,17.213039283607806,0.39776243910783327,22.227054794362754,0.301294504294176,0.20089435729685526,0.3880596238197903,0.659620846033752,0.36188669082762603,0.3362538507421491,0.3502189204754518,0.33072476165954146,0.3423487770923207,0.3745499919372699,0.3568874474852666,0.3116301894471242,0.32582404981738766,0.3535005304738389
256-cities_,0.3692102015640067,0.007287815282640575,16.65255229666068,0.2044195372203698,21.803771970648807,0.1260203952485378,0.21931306222585684,0.41004386290982076,0.6791539662478627,0.3679565078348669,0.360720238709776,0.37990925444708046,0.37782475121271697,0.36713687989430044,0.3789848882621428,0.3583209663265804,0.3629269498361395,0.3668275130803881,0.37149406603607493
424-cities_,0.38881129590895463,0.0023671546508281854,16.277722803413198,0.047790316126257226,21.462652794301576,0.04156200678700955,0.22444502267489405,0.4250591034123857,0.6932860010408148,0.3853154404536042,0.38948170171764807,0.3904531546973842,0.38655948301187304,0.3928427169846507,0.3855779774256507,0.3875742792517327,0.39126531003692644,0.3899274461221366,0.3891154493879396
512-cities_,0.3899918879221251,0.001778105931490626,16.234920381708573,0.04909068554519762,21.441931242523765,0.03123836587164254,0.22711818204346637,0.42808465293782366,0.6930414095606275,0.39069833776893903,0.3917286839354207,0.38754864206201534,,,,,,,
1024-cities_,0.390393478571252,0.0014452588313301734,16.266744683611464,0.043272280002130556,21.43487977273584,0.025402131392586274,0.2254033157386068,0.4236512774762719,0.6930240626471389,0.3908681590302753,0.3884344622744522,0.3918778144090286,,,,,,,
