Code_BuildingVariant,Country,BuildingType,Age,Age_plot,n_air_infiltration,WWR,U_Wall_avg,U_Roof_avg,U_Floor_avg,U_Window_avg,g_Window_avg,set_p_T,n_air_use,q_int_tot,F_sh_hor,F_sh_ver,F_f,F_w,EU_set_p_T,EU_n_air_use,EU_q_int_tot,EU_F_sh_hor,EU_F_sh_ver,EU_F_f,EU_F_w,EU_q_int_tot,A_C_Ref,A_C_ExtDim,Code_AttachedNeighbours,n_Storey,Unit_m2,n_Apartment,q_h_nd,ClimateZone,Age_Harmonized,Age_plot_Harmonized,BuildingType3,WWR_harm_mean,WWR_harm_shape,WWR_harm_scale,U_Wall_harm_mean,U_Wall_harm_shape,U_Wall_harm_scale,U_Window_harm_mean,U_Window_harm_shape,U_Window_harm_scale,U_Roof_harm_mean,U_Roof_harm_shape,U_Roof_harm_scale,U_Floor_harm_mean,U_Floor_harm_shape,U_Floor_harm_scale,g_Window_harm_mean,g_Window_harm_shape,g_Window_harm_scale,n_air_infiltration_harm_mean,n_air_infiltration_harm_scale,n_air_infiltration_harm_shape,n_air_use_harm_mean,n_air_use_harm_scale,n_air_use_harm_shape,set_p_T_harm_mean,F_f_harm_mean,F_sh_ver_harm_mean,F_sh_hor_harm_mean,q_int_tot_harm_mean
AT.N.MFH.03.Gen.ReEx.001.001,Austria,MFH,1945-1960,1952.5,0.2,0.0722424880598699,1.4,0.8218787872272728,2.2988996296804816,3.0,0.7,20.0,0.4,3.75,0.85,0.6,0.3,0.9,20,0.4,3,0.8,0.6,0.3,0.9,3,598.4,748.0,B_Alone,3.0,199.46666666666667,3.0,228.2,Temperate,1945-1969,1958,MF_TH,0.10590004034520094,0.3539400384814591,0.09949848207401261,1.5422325332210784,0.3888698051124428,1.4229941270197923,2.65,0.132851582866503,2.6267851073127395,0.8426803832609218,0.25140417083249217,0.8173775199260279,1.5,0.5111107812396969,1.5,0.675,0.05,0.674536878161602,0.4,0.4,0.13,0.4,0.4,0.05,20,0.3,0.65,0.82,4
AT.N.MFH.04.Gen.ReEx.001.001,Austria,MFH,1961-1980,1970.5,0.2,0.1282361847085541,1.8,0.578512397,1.1,1.5,0.7,20.0,0.4,3.75,0.85,0.6,0.3,0.9,20,0.4,3,0.8,0.6,0.3,0.9,3,495.0,618.8,B_Alone,3.0,82.5,6.0,232.2,Temperate,1970-1979,1975,MF_TH,0.12153685174303488,0.4086580759113464,0.11317180115684218,1.2788214258111037,0.5168350398007334,1.1354608736923784,2.2163393558523174,0.2245555513445179,2.1646709405807383,0.7508565832484699,0.20351528623003373,0.7356216029648885,0.7588709675,0.23104047045149784,0.7372238853456515,0.667439120188531,0.05,0.6671299212261865,0.35,0.35,0.13,0.4,0.4,0.05,20,0.3,0.65,0.82,4
AT.N.MFH.05.Gen.ReEx.001.001,Austria,MFH,1981-1990,1985.5,0.2,0.1278917910447761,0.6760195758564437,0.435016618158364,0.508474576,2.1895696571845367,0.638913202042305,20.0,0.4,3.75,0.85,0.6,0.3,0.9,20,0.4,3,0.8,0.6,0.3,0.9,3,589.6,737.0,B_Alone,4.0,117.92,5.0,129.5,Temperate,1980-1989,1985,MF_TH,0.14474656409127115,0.20913152545700603,0.14139268791082357,0.8779724175880066,0.36498140578583,0.8249738689860235,1.9999209515937184,0.3228375312533178,1.9099699797191503,0.5042832827889776,0.1332684054197738,0.4998385260189601,0.5377907841183054,0.08985827101249248,0.5355503518310687,0.6321400339854899,0.05,0.6318466655368573,0.2,0.2,0.13,0.4,0.4,0.05,20,0.3,0.65,0.82,4
AT.N.MFH.06.Gen.ReEx.001.001,Austria,MFH,1991-2000,1995.5,0.2,0.1009530590119901,0.35,0.357142857,0.357142857,1.4,0.65,20.0,0.4,3.75,0.85,0.6,0.3,0.9,20,0.4,3,0.8,0.6,0.3,0.9,3,494.0,617.5,B_Alone,4.0,61.75,8.0,98.9,Temperate,1990-1999,1995,MF_TH,0.09869062579866296,0.22387615314774406,0.09631714304794943,0.4394181682955509,0.3589398198795047,0.4148018141119461,1.325,0.10442623381616557,1.3180873682873682,0.27526286499999997,0.22816031221686423,0.2684446305952169,0.36785714275,0.05,0.3674061944333782,0.6375,0.05,0.6371223351099032,0.2,0.2,0.13,0.4,0.4,0.05,20,0.3,0.65,0.82,4
AT.N.MFH.07.Gen.ReEx.001.001,Austria,MFH,2001-2009,2005.0,0.2,0.1098696461824953,0.16,0.166666667,0.23255814,1.4,0.56,20.0,0.4,3.75,0.85,0.6,0.3,0.9,20,0.4,3,0.8,0.6,0.3,0.9,3,218.8,273.5,B_Alone,2.0,72.93333333333334,3.0,84.6,Temperate,2000-2009,2005,MF_TH,0.12115244538776115,0.32010760245865055,0.11554298228747925,0.2952203851806739,0.36281450131824533,0.27580441301226133,1.4,0.05,1.4,0.17987233096927518,0.08317959396852644,0.1792489346163158,0.22104443126785714,0.0666422415698549,0.22056384140203736,0.605,0.07451778958024391,0.6033241251599343,0.15,0.15,0.13,0.4,0.4,0.05,20,0.3,0.65,0.82,4
AT.N.MFH.08.Gen.ReEx.001.001,Austria,MFH,2010,2010.0,0.1,0.1098582807489396,0.35,0.2,0.357142857,1.4,0.65,20.0,0.4,3.75,0.85,0.6,0.3,0.9,20,0.4,3,0.8,0.6,0.3,0.9,3,218.8,273.5,B_Alone,2.0,72.93333333333334,3.0,104.3,Temperate,2010s,2013,MF_TH,0.12485454366461927,0.4052697761425707,0.11499684032933764,0.2509859530824419,0.2119816253358662,0.245445269279842,1.4,0.05,1.4,0.2,0.05,0.2,0.36785714275,0.05,0.3674061944333782,0.605,0.05,0.6033241251599343,0.15,0.15,0.13,0.4,0.4,0.05,20,0.3,0.65,0.82,4
AT.N.SFH.01.Gen.ReEx.001.001,Austria,SFH,1919,1919.0,0.2,0.0663387258807634,1.1,1.4,1.4792113309479844,2.2,0.65,20.0,0.4,3.75,0.85,0.6,0.3,0.9,20,0.4,3,0.8,0.6,0.3,0.9,3,159.44,199.3,B_N1,2.0,159.44,1.0,260.3,Temperate,1900-1944,1920,SFH,0.0814595783543017,0.17026329627929532,0.08027017030370068,1.4960299337523282,0.2653662258128862,1.4438984891744762,2.65,0.18909901672296947,2.6267851073127395,0.9876474359882433,0.21358028378124663,0.9646364083956843,1.0903728640380956,0.4440030197070813,0.9762627943096112,0.65625,0.05,0.6560492480734295,0.4,0.4,0.13,0.4,0.4,0.05,20,0.3,0.65,0.82,4
AT.N.SFH.02.Gen.ReEx.001.001,Austria,SFH,1919-1944,1931.5,0.2,0.0864571206829646,1.6388168254190945,1.125827815,2.4,1.444524236983842,0.65,20.0,0.4,3.75,0.85,0.6,0.3,0.9,20,0.4,3,0.8,0.6,0.3,0.9,3,138.2,172.7,B_N1,2.0,138.2,1.0,322.3,Temperate,1900-1944,1920,SFH,0.0814595783543017,0.17026329627929532,0.08027017030370068,1.4960299337523282,0.2653662258128862,1.4438984891744762,2.65,0.18909901672296947,2.6267851073127395,0.9876474359882433,0.21358028378124663,0.9646364083956843,1.0903728640380956,0.4440030197070813,0.9762627943096112,0.65625,0.05,0.6560492480734295,0.4,0.4,0.13,0.4,0.4,0.05,20,0.3,0.65,0.82,4
AT.N.SFH.03.Gen.ReEx.001.001,Austria,SFH,1945-1960,1952.5,0.2,0.0804539467017935,1.1580243712730105,0.5571094414687291,2.3620446973423004,2.3,0.65,20.0,0.4,3.75,0.85,0.6,0.3,0.9,20,0.4,3,0.8,0.6,0.3,0.9,3,197.5,246.9,B_Alone,2.0,197.5,1.0,254.1,Temperate,1945-1969,1958,SFH,0.09040280993198108,0.08853884110194069,0.09004662941971874,1.5422325332210784,0.3888698051124428,1.4229941270197923,2.65,0.132851582866503,2.6267851073127395,0.8426803832609218,0.25140417083249217,0.8173775199260279,1.5,0.5111107812396969,1.5,0.675,0.05,0.674536878161602,0.4,0.4,0.13,0.4,0.4,0.05,20,0.3,0.65,0.82,4
AT.N.SFH.04.Gen.ReEx.001.001,Austria,SFH,1961-1980,1970.5,0.2,0.1061134299042474,1.3,0.9,0.64516129,2.6,0.65,20.0,0.4,3.75,0.85,0.6,0.3,0.9,20,0.4,3,0.8,0.6,0.3,0.9,3,115.0,143.75,B_Alone,2.0,115.0,1.0,304.3,Temperate,1970-1979,1975,SFH,0.11690789645036401,0.09259682587009599,0.11640848656534365,1.2788214258111037,0.5168350398007334,1.1354608736923784,2.2163393558523174,0.2245555513445179,2.1646709405807383,0.7508565832484699,0.20351528623003373,0.7356216029648885,0.7588709675,0.23104047045149784,0.7372238853456515,0.667439120188531,0.05,0.6671299212261865,0.35,0.35,0.13,0.4,0.4,0.05,20,0.3,0.65,0.82,4
