Country,Region,BuildingType,Age
Denmark,National,AB,<1850
Denmark,National,AB,1851-1930
Denmark,National,AB,1931-1950
Denmark,National,AB,1951-1960
Denmark,National,AB,1961-1972
Denmark,National,AB,1973-1978
Denmark,National,AB,1979-1998
Denmark,National,AB,1999-2006
Denmark,National,AB,2007-2010
Denmark,National,AB,2011+
Spain,National,SFH,<1901
Spain,National,SFH,1901-1936
Spain,National,SFH,1937-1959
Spain,National,SFH,1960-1979
Spain,National,SFH,1980-2006
Spain,National,SFH,2007+
Spain,National,TH,<1901
Spain,National,TH,1901-1936
Spain,National,TH,1937-1959
Spain,National,TH,1960-1979
Spain,National,TH,1980-2006
Spain,National,TH,2007+
Spain,National,MFH,<1901
Spain,National,MFH,1901-1936
Spain,National,MFH,1937-1959
Spain,National,MFH,1960-1979
Spain,National,MFH,1980-2006
Spain,National,MFH,2007+
Spain,National,AB,<1901
Spain,National,AB,1901-1936
Spain,National,AB,1937-1959
Spain,National,AB,1960-1979
Spain,National,AB,1980-2006
Spain,National,AB,2007+
France,National,SFH,<1915
France,National,SFH,1915-1948
France,National,SFH,1949-1967
France,National,SFH,1968-1974
France,National,SFH,1975-1981
France,National,SFH,1982-1989
France,National,SFH,1990-1999
France,National,SFH,2000-2005
France,National,SFH,2006-2012
France,National,SFH,2013+
France,National,TH,<1915
France,National,TH,1915-1948
France,National,TH,1949-1967
France,National,TH,1968-1974
France,National,TH,1975-1981
France,National,TH,1982-1989
France,National,TH,1990-1999
France,National,TH,2000-2005
France,National,TH,2006-2012
France,National,TH,2013+
France,National,MFH,<1915
France,National,MFH,1915-1948
France,National,MFH,1949-1967
France,National,MFH,1968-1974
France,National,MFH,1975-1981
France,National,MFH,1982-1989
France,National,MFH,1990-1999
France,National,MFH,2000-2005
France,National,MFH,2006-2012
France,National,MFH,2013+
France,National,AB,<1915
France,National,AB,1915-1948
France,National,AB,1949-1967
France,National,AB,1968-1974
France,National,AB,1975-1981
France,National,AB,1982-1989
France,National,AB,1990-1999
France,National,AB,2000-2005
France,National,AB,2006-2012
France,National,AB,2013+
Greece,Zone A,SFH,<1980
Greece,Zone A,SFH,1981-2000
Greece,Zone A,SFH,2001-2010
Greece,Zone A,SFH,2011+
Greece,Zone A,MFH,<1980
Greece,Zone A,MFH,1981-2000
Greece,Zone A,MFH,2001-2010
Greece,Zone A,MFH,2011+
Greece,Zone B,SFH,<1980
Greece,Zone B,SFH,1981-2000
Greece,Zone B,SFH,2001-2010
Greece,Zone B,SFH,2011+
Greece,Zone B,MFH,<1980
Greece,Zone B,MFH,1981-2000
Greece,Zone B,MFH,2001-2010
Greece,Zone B,MFH,2011+
Greece,Zone C,SFH,<1980
Greece,Zone C,SFH,1981-2000
Greece,Zone C,SFH,2001-2010
Greece,Zone C,SFH,2011+
Greece,Zone C,MFH,<1980
Greece,Zone C,MFH,1981-2000
Greece,Zone C,MFH,2001-2010
Greece,Zone C,MFH,2011+
Greece,Zone D,SFH,<1980
Greece,Zone D,SFH,1981-2000
Greece,Zone D,SFH,2001-2010
Greece,Zone D,SFH,2011+
Greece,Zone D,MFH,<1980
Greece,Zone D,MFH,1981-2000
Greece,Zone D,MFH,2001-2010
Greece,Zone D,MFH,2011+
Hungary,National,SFH,<1945
Hungary,National,SFH,1945-1979
Hungary,National,SFH,1980-1989
Hungary,National,SFH,1990-2005
Hungary,National,SFH,2006+
Hungary,National,MFH,<1945
Hungary,National,MFH,1945-1979
Hungary,National,MFH,1980-1989
Hungary,National,MFH,1990-2005
Hungary,National,MFH,2006+
Hungary,National,AB,<1945
Hungary,National,AB,1945-1979
Hungary,National,AB,1980-1989
Hungary,National,AB,1990-2005
Hungary,National,AB,2006+
Ireland,National,SFH,<1900
Ireland,National,SFH,1900-1929
Ireland,National,SFH,1930-1949
Ireland,National,SFH,1950-1966
Ireland,National,SFH,1967-1977
Ireland,National,SFH,1978-1982
Ireland,National,SFH,1983-1993
Ireland,National,SFH,1994-2004
Ireland,National,SFH,2005-2010
Ireland,National,SFH,2011+
Ireland,National,TH,<1900
Ireland,National,TH,1900-1929
Ireland,National,TH,1930-1949
Ireland,National,TH,1950-1966
Ireland,National,TH,1967-1977
Ireland,National,TH,1978-1982
Ireland,National,TH,1983-1993
Ireland,National,TH,1994-2004
Ireland,National,TH,2005-2010
Ireland,National,TH,2011+
Ireland,National,AB,<1900
Ireland,National,AB,1900-1929
Ireland,National,AB,1930-1949
Ireland,National,AB,1950-1966
Ireland,National,AB,1967-1977
Ireland,National,AB,1978-1982
Ireland,National,AB,1983-1993
Ireland,National,AB,1994-2004
Ireland,National,AB,2005-2010
Ireland,National,AB,2011+
Italy,National,SFH,<1901
Italy,National,SFH,1901-1920
Italy,National,SFH,1921-1945
Italy,National,SFH,1946-1960
Italy,National,SFH,1961-1975
Italy,National,SFH,1976-1990
Italy,National,SFH,1991-2005
Italy,National,SFH,2006+
Italy,National,TH,<1901
Italy,National,TH,1901-1920
Italy,National,TH,1921-1945
Italy,National,TH,1946-1960
Italy,National,TH,1961-1975
Italy,National,TH,1976-1990
Italy,National,TH,1991-2005
Italy,National,TH,2006+
Italy,National,MFH,<1901
Italy,National,MFH,1901-1920
Italy,National,MFH,1921-1945
Italy,National,MFH,1946-1960
Italy,National,MFH,1961-1975
Italy,National,MFH,1976-1990
Italy,National,MFH,1991-2005
Italy,National,MFH,2006+
Italy,National,AB,<1901
Italy,National,AB,1901-1920
Italy,National,AB,1921-1945
Italy,National,AB,1946-1960
Italy,National,AB,1961-1975
Italy,National,AB,1976-1990
Italy,National,AB,1991-2005
Italy,National,AB,2006+
Netherlands,National,SFH,<1965
Netherlands,National,SFH,1965-1974
Netherlands,National,SFH,1975-1991
Netherlands,National,SFH,1992-2005
Netherlands,National,SFH,2006-2014
Netherlands,National,SFH,2015+
Netherlands,National,TH,<1965
Netherlands,National,TH,1965-1974
Netherlands,National,TH,1975-1991
Netherlands,National,TH,1992-2005
Netherlands,National,TH,2006-2014
Netherlands,National,TH,2015+
Netherlands,National,MFH,<1965
Netherlands,National,MFH,1965-1974
Netherlands,National,MFH,1975-1991
Netherlands,National,MFH,1992-2005
Netherlands,National,MFH,2006-2014
Netherlands,National,MFH,2015+
Netherlands,National,AB,<1965
Netherlands,National,AB,1965-1974
Netherlands,National,AB,1975-1991
Netherlands,National,AB,1992-2005
Netherlands,National,AB,2006-2014
Netherlands,National,AB,2015+
Norway,National,SFH,<1955
Norway,National,SFH,1956-1970
Norway,National,SFH,1971-1980
Norway,National,SFH,1981-1990
