NUTS 3 CODE;LAU CODE;LAU NAME NATIONAL;LAU NAME LATIN;CHANGE (Y/N);POPULATION;TOTAL AREA (m2);DEGURBA;DEG change compared to last year;COASTAL AREA (yes/no);COAST change compared to last year;CITY_ID;CITY_ID change compared to last year;CITY_NAME;GREATER_CITY_ID;GREATER_CITY_ID change compared to last year;GREATER_CITY_NAME;FUA_ID;FUA_ID change compared to last year;FUA_NAME
NL125;GM1940;De Fryske Marren;;no;51430;351290800;3;no;no;no;;;;;;;;;
NL327;GM1942;Gooise Meren;;no;57715;41593895;2;no;no;no;;;;;;;NL002L3;no;Amsterdam
NL226;GM1945;Berg en Dal;;no;34798;86311733;2;no;no;no;;;;;;;NL013L3;no;Nijmegen
NL413;GM1948;Meierijstad;;no;80815;184090396;2;no;no;no;;;;;;;;;
NL124;GM1949;Waadhoeke;;no;46039;284857544;3;no;yes;no;;;;;;;;;
NL111;GM1950;Westerwolde;;no;25199;275666748;3;no;no;no;;;;;;;;;
NL113;GM1952;Midden-Groningen;;no;60899;279995415;2;no;no;no;;;;;;;;;
NL423;GM1954;Beekdaelen;;yes;35727;78301393;2;yes;no;yes;;;;;;;;;
NL225;GM1955;Montferland;-;no;36026;105698345;2;no;no;no;;;;;;;;;
NL412;GM1959;Altena;;yes;55386;200625856;2;yes;no;yes;;;;;;;;;
NL224;GM1960;West Betuwe;;yes;50697;216116887;2;yes;no;yes;;;;;;;;;
NL310;GM1961;Vijfheerenlanden;;yes;55712;146410656;2;yes;no;yes;;;;;;;;;
NL33C;GM1963;Hoeksche Waard;;yes;86656;268933982;2;yes;no;yes;;;;;;;;;
NL113;GM1966;Het Hogeland;;yes;47888;482745554;3;yes;yes;yes;;;;;;;;;
NL113;GM1969;Westerkwartier;;yes;63031;362688592;3;yes;no;yes;;;;;;;;;
NL124;GM1970;Noardeast-Fryslân;;yes;45181;377834974;3;yes;yes;yes;;;;;;;;;
NL33A;GM1978;Molenlanden;;yes;43858;181726106;2;yes;no;yes;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;v;;;;;;;;
